Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
,オフィス費用 Total,,,2400,,,,,,,,2400,,,,,,,VEN0052258 AZX Professionals Group,400000,400000,400000,400000,400000,400000,400000,400000,3200000,AZXは月額定額の料金設定となっているが、タイムチャージに変換した場合、相場より安く設定しており、毎月未使用の時間を翌月または以降繰越していただいてる。例えば株主総会前後、相談する案件が増える、大きなプロジェクトやインシデントが発生した場合も、上記繰越で対応していただいており、別途の請求が基本発生しないことが多い。法務チームのみならず、内部監査（村田さん）やKeizoさん直の相談も対応していただいている。井原さんも弁護士資格を持っているが、上場会社として一番多く関る会社法等の法律に関して、AZXは圧倒的な知見をもっているため、JHDの機関法務関連を含め、AZXのサポートは引き続き必要と考える。,継続 & 金額ステイ,,,,業務委託費 Total,,30000,30000,30000,30000,,,,120000,,,,,,,,,,,,,,,,,,,
,その他,VEN0025017 三井住友海上火災保険株式会社,93333,93333,93333,93333,93337,,,,,466669,会社役員賠償責任保険の費用。保険金支払限度額を下げることで、次回更新時に費用削減も可。,継続 & 金額ダウン,,,,,VEN0067678 弁護士法人モリソン・フォースター法律事務所,,,,,,,,1300000,1300000,,,,,,Grand Total,,30000,30000,30000,30000,50000,65000,45000,280000,,,,,,,,,,,,,,,,,,,
,,VEN0065986 三井住友海上火災保険株式会社,,,,,,126000,126000,126000,,378000,会社役員賠償責任保険の費用。保険金支払限度額を下げることで、次回更新時に費用削減も可。,継続 & 金額ダウン,,,,会計士、税理士、監査法人、社労士 Total,,400000,400000,417500,400000,400000,558280,430000,1700000,4705780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他 Total,,93333,93333,93333,93333,93337,126000,126000,126000,,844669,,,,,,Grand Total,,400000,400000,428000,400000,400000,838780,463000,1700000,5029780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,株主総会会場費用,継続 & 金額ステイ
,一般管理費,,,,,,-151204,,77730,,,-73474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行支払利息,継続 & 金額ステイ
,,VEN0015683 PwC Japan有限責任監査法人,,,,56240,11298,11298,11298,11298,,101432,サブスクリプションの費用継続です,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015683 PwCあらた有限責任監査法人,11298,11298,11298,,,,,,,33894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regional チームのG-suiteかNetsuite利用料,継続 & 金額ステイ
,,VEN0022684 公益財団法人　財務会計基準機構,25000,25000,25000,25000,25000,25000,,25000,,175000,上場会社基本加入している。年間料金支払い済み、2026年3月にカットでくるか再検討,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0022684 公益財団法人 財務会計基準機構,,,,,,,25000,,,25000,上場会社基本加入している。年間料金支払い済み、2026年3月にカットでくるか再検討,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor,カット
,,VEN0048869 一般社団法人 G1,19835,19835,19832,,218182,,,,,277684,一般社団法人 G1 CEO会費、脱退してよいのであればカット,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0062455 株式会社コンベンションリンケージ,,,,319600,,,,,,319600,株主総会機材関連費用（１年１回の費用）,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行支払利息,継続 & 金額ステイ
,,銀行支払利息,,,,,4400,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,一般管理費 Total,,56133,56133,56130,400840,107676,36298,114028,36298,,863536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交通費および宿泊費,INTVEN0432 AnyMind Hong Kong Limited,,11088,,77267,-22039,,,,,66316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0010901 Payroll-Salary AnyMind Group,7580,7580,7580,7580,7580,7580,7580,7580,,60640,定額でかかる費用継続,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015683 PwC Japan有限責任監査法人,,,,847886,,,,,,847886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0050167 立替金,,201137,,11272,,,,,,212409,regional team 交通費および宿泊費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行支払利息,継続 & 金額ステイ
,交通費および宿泊費 Total,,7580,219805,7580,944005,-14459,7580,7580,7580,,1187251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行支払利息,継続 & 金額ステイ
,交際費,VEN0050167 立替金,,85782,,,,,,,,85782,izawa award fee,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交際費 Total,,,85782,,,,,,,,85782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,会計士、税理士、監査法人、社労士,,,,,,,,7200000,10000000,,17200000,Accrual_PwC監査費用_年間費2025年,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Accrual_PwC監査費用_年間費2025年Q2,,,,,,4166667,,,,4166667,Accrual_PwC監査費用_年間費2025年,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INTVEN0383 AnyMind Group Pte. Ltd.,-20081,-772177,430,2479022,,,,,,1687194,Stamp Duty for Arche Digital ,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PWC監査費用,,,4997992,500000,8333333,,,,,13831325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0012322 宝印刷株式会社,,,,,,1692000,,310000,,2002000,半期報告書関連費用,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015982 みずほ証券株式会社,500000,,500000,,,,,,,1000000,変更審査とコンサル費用（3月から契約中止）,カット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0019258 KPMG税理士法人,,,,,,1700000,,,,1700000,税務申告書作成業務報酬*FY24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0019719 Global Shares Ireland Ltd,179191,342000,,,,,,,,521191,外国従業員Stock Option行使Platformシステム使用、年間約200万、新株予約権を持っている人のアカウント数でチャージ,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037210 ログミー株式会社,,,,,980000,,,,,980000,決算説明会支援（JHD_IR用業務委託費_収益立上げサービス）,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0058348 株式会社I-GLOCAL,,,1650000,,,,,,,1650000,DD報酬費用,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0063142 株式会社Next Unicorn Lab,,,,495000,495000,495000,495000,1495000,,3475000,（2025年5月～2024年4月まで年4回分）IR決算説明会の書き起こしと掲載サービス。,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0066254 業務委託長谷川直毅,,,,,,123200,,95200,,218400,2ヵ月1回の請求で申し訳ないですが、4半期のタイミングで10万程度,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,会計士、税理士、監査法人、社労士 Total,,659110,-430177,7148422,3474022,9808333,8176867,7695000,11900200,,48431777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業務委託費,,,,,,,245691,1501693,314804,,2062188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INTVEN0383 AnyMind Group Pte. Ltd.,,1929283,,,,,,,,1929283,M&A cost - Bloga,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0012322 宝印刷株式会社,,,2121300,300000,50000,,,50000,,2521300,内容確認しますが、宝印刷なのでWizlabo関連の費用だと思います,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015982 みずほ証券株式会社,,,40000,,,,,,,40000,変更審査とコンサル費用（3月から契約中止）,カット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0019719 Global Shares Ireland Ltd,,40018,,37329,,,28601,,,105948,外国従業員Stock Option行使Platformシステム使用、年間約200万、新株予約権を持っている人のアカウント数でチャージ,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0021584 株式会社東京証券取引所,,,757800,,,,,777500,,1535300,東証上場料（半年分）,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0024429 DocuSign Inc,,105416.66666666667,,52708,52708,52708,52708,52708,,368956.6666666667,電子契約,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037031 株式会社みんせつ,16667,16667,16667,16667,16667,16667,16667,16667,,133336,IR決算説明会集客料（機関投資家にアプローチ）,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037694 株式会社証券保管振替機構,,,,,353414,,,,,353414,株式売買（市場での）の名義書き換え等でかかる費用（確か年1回）,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,三菱信託銀行　手数料・証券手数料,,,,944785,296691,,,,,1241476,株主総会の招集通知郵送料など4月はいつも普段より高い,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,三菱信託銀行　証券手数料,724870,234342,217517,,,,,,,1176729,半年分。全ての上場会社は、株式の保管や決済、権利処理などのサービス利用料。,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業務委託費 Total,,741537,2325726.6666666665,3153284,1351489,769480,315066,1599669,1211679,,11467930.666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,,1557693,2353002.6666666665,10458749,6263689,10764367,8661811,9542277,13401892,120135,63123615.666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
