Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190
,,INTVEN0101 AnyMind Group Pte. Ltd.,1462196,1254096,1386387,,4102679,FastlyのコストでAnyManagerのインフラ,継続 & 金額ステイ,,,,,VEN0001083 Google Asia Pacific Pte. Ltd.,529617.7000000001,501757.5,,535922,1567297.2000000002,プロモ支援で発生するGoogleへの支払い分,継続 & 金額ステイ,,,,,GOOGLE*GSUITE,,31279,,,31279,フォーエムHPのサーバー費用,継続 & 金額ステイ,,,,,VEN0025137 ケイヒン配送株式会社,2466050,,,1109850,3575900,"- LAPONE STOREの保管費
- 以下のUPSIDERに統合",カット,,,,一般管理費 Total,,3500,4367,26692,,34559,研修費用,継続 & 金額ダウン,,,,,Rakuten手数料,1456072,,,,1456072,プラットフォーム手数料、広告費用,継続 & 金額ステイ,,,,,VEN0000649 Expense Claims for AJP,,,,15183,15183,撮影備品返送料,継続 & 金額ダウン,,,,,VEN0051580 LINEヤフー株式会社,,200000,-200000,,0,,カット,,,,,VEN0029438 株式会社UPSIDER,,,,65740,65740,,,,,,,CUS0008629 D2C_Rakuten,,648699,603907,900326,2152932,決済手数料累計,,,,,,VEN0038533 株式会社リーディングマーク,350000,,,,350000,適性検査,ショット,,,,交通費および宿泊費,VEN0000649 Expense Claims for AJP,3000,4636,,103393,111029,交通費の経費,継続 & 金額ステイ,,,,オフィス費用 Total,,,,372,,372,,,,,,広告宣伝費,VEN0005698 株式会社PR TIMES,70000,70000,70000,70000,280000,リリース配信サービス,継続 & 金額ステイ,,,,,HASHICORP HCP,,26985,,,26985,,,,,,,,BOLTCUT.AI,76330,73906,73902,,224138,AnyLiveアバター,継続 & 金額ステイ
,,PROGATE,,1355,,2710,4065,中途、新卒社員向けの研修ツールで入社時にワンタイムで利用,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,,,,2700,2700,（仮）イベント関連費用,継続 & 金額ステイ,,,,,INTVEN0101 AnyMind Group Pte. Ltd.,19028,,495243,529386,1043657,"WebExpenses、Xero、LinkedIn、G Suite、Greenhouse、eloomi、Slack
社内ツール系",継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,155950,1148349,1403346,293214,3000859,- LAPONE STOREの保管費：コストカットを吉本興業に打診中/交渉中,継続 & 金額ダウン,,,,交通費および宿泊費,Shift Engawa EC to  BC,5760,844,,,6604,研修費用,継続 & 金額ダウン,,,,,VEN0015047 株式会社ロジレス,3686612,1641133,1685176,1544787,8557708,【変動費】ロジスティクス事業のシステム費用,継続 & 金額ステイ,,,,,VEN0007433 ヤマト運輸株式会社,950,9330,,,10280,撮影備品返送料,継続 & 金額ダウン,,,,,VEN0051818 株式会社エビリー(AnyMind),40000,40000,40000,40000,160000,,継続 & 金額ステイ,,,,一般管理費 Total,,100000,-81880,18120,93860,130100,,,,,,,CUS0008630 D2C_Popup,,-264000,2701652,1353891,3791543,決済手数料(square)/ルミネ出店手数料18%,継続 & 金額ステイ,,,,,VEN0039832 株式会社ウェルビー マーケティング ジャパン,58100,,,,58100,海外人材の保険,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,,,105247,12364,117611,AIツール利用の固定費,継続 & 金額ステイ,,,,交通費および宿泊費,VEN0029438 株式会社UPSIDER,,,4455,,4455,株主総会備品購入,ショット,,,,,VEN0028977 株式会社日本経済社,12453,11459,9310,15658,48880,日経テレコン,継続 & 金額ステイ,,,,,INTVEN0090 AnyMind Group Pte. Ltd.,7976313,8774283,7679866,9172937,33603399,"eloomi：40,000/ 月
G-suite：1,500,000/ 月
Greenhouse：116,000/ 月
GWI aka Trendstream ：70,000/ 月
LinkedIn：300,000/ 月
Netsuite consulting fee ：12,000/ 月
Searce：8,100,000/ 月
slack：350,000/ 月
WebExpenses：90,000/ 月
Xero：17,000/ 月",継続 & 金額ステイ,,,,,,Canva* 04437-25903153,,27272.72727,,,27272.72727,デザイン,継続 & 金額ステイ
,,STORYHUB,,,,50000,50000,自社運営メディアのコンテンツ制作に利用,カット,,,,,VEN0031458 ADLOGIC TECHNOLOGY PTE. LTD.,,771798,,,771798,自社ゲームの広告出稿媒体（テストフェーズにて使用）,継続 & 金額ステイ,,,,,ｋｕｂｅｌｌ,25390,26040,31416,28785,111631,顧客とのコミュニケーションツール,継続 & 金額ステイ,,,,一般管理費 Total,,2626444,1148349,1409346,1402383,6586522,,,,,,交通費および宿泊費 Total,,5760,844,,,6604,不明,,販管費_物販/EC受託 ,,,,VEN0029438 株式会社UPSIDER,567879,345831,692307,405378,2011395,倉庫のシステム費用：ハンディーレンタル等,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,80510,14745,103633,3990,202878,撮影備品返送料,継続 & 金額ステイ,,,,,VEN0052539 ノウンズ株式会社,200000,200000,200000,200000,800000,,継続 & 金額ステイ,,,,交通費および宿泊費,VEN0029438 株式会社UPSIDER,,,,240742,240742,,,,,,,VEN0007790 株式会社ネットプロテクションズ,,43230,-43230,,0,,,,,,,VEN0039832 株式会社ウェルビー　マーケティング　ジャパン,,58100,58100,58100,174300,海外人材の保険,継続 & 金額ステイ,,,,交通費および宿泊費 Total,,3000,4636,105247,115757,228640,,,,,,交通費および宿泊費 Total,,,,4455,,4455,,,,,,,VEN0051480 ソーシャルワイヤー株式会社(AnyMInd),5000,-5000,,,0,,カット,,,,,INTVEN0101 AnyMind Group Pte. Ltd.,3595945,4020866,2558506,3144556,13319873,see above,継続 & 金額ステイ,,,,,,CIRCLECI.COM,469541,,,,469541,デプロイ管理,継続 & 金額ステイ
,,Ｔａｙｏｒｉ,,7600,,7600,15200,CSツール,継続 & 金額ステイ,,,,,VEN0041586 adjust株式会社,449166,1649166,1649166,1649166,5396664,自社ゲームの広告出稿最適化,継続 & 金額ステイ,,,,,OPENAI,,12994,,68211,81205,AI推進での活用,継続 & 金額ステイ,,,,交通費および宿泊費,VEN0000649 Expense Claims for AJP,39717,,5909,64582,110208,- 交通費精算,継続 & 金額ステイ,,,,広告宣伝費,Shift Engawa EC to  BC,28186,72010,26372,,126568,どのPOか不明,,,,,IT費用 Total,,12630430,5723754,7843963,6469470,32667617,,,,,,一般管理費 Total,,82068,24683,103841,19781,230373,,,,,,IT費用 Total,,1405513,1295165,1451051.3333333335,1548798.3636363638,5700527.696969697,,,,,,,VEN0061917 株式会社Myoon,,,,690,690,,,,,,,VEN0015047 株式会社ロジレス,134800,127230,131710,130410,524150,受発注/入出荷処理/在庫管理→AnyXと連携している。AnyX→ロジレスありき,継続 & 金額ステイ,,,,,VEN0046221 損害保険ジャパン株式会社,28493,28493,28497,,85483,旅行保険など,ショット,,,,人材採用 (新卒採用),VEN0022998 ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,,,2115750,,2115750,中途採用に伴う紹介手数料,ショット,,,,人材採用 (新卒採用),VEN0017809 パーソルキャリア株式会社,,1080000,,,1080000,法務採用コスト　25年度発生予定なし。,カット,,,,,VEN0054813 株式会社マテリアル,300000,300000,300000,0,900000,月額のTV PR支援は3月で解約済み。今後成果報酬のTV PR費用が発生する可能性あり。,カット,,,,,OPENAI *CHATGPT SUBSCR (UPSIDER),,26611,66066,38895,131572,CHATGPT 利用料,,,,,,,COGNITION LABS (DEVIN),,78270,76165,73272,227707,AI開発ツール,継続 & 金額ステイ
,,VEN0001083 Google Asia Pacific Pte. Ltd.,4766559.3,4515817.5,5494454,4823298,19600128.8,Google Ad Managerのコスト,継続 & 金額ステイ,,,,,VEN0056671 株式会社Yaaha,250000,100000,270000,-20000,600000,業務委託（ショート動画によるプロモ支援受注時の発注先）,継続 & 金額ステイ,,,,,SLACK,176670,184705,176941,191911,730227,"顧客とのコミュニケーションツール
過去データの引き継ぎ前提にてAnyMindのものに意向できる場合、カット可能
→AnyMind側を削除する",カット,,,,,VEN0029438 株式会社UPSIDER,50191,103118,79709,152941,385959,- 出張等の費用,継続 & 金額ステイ,,,,広告宣伝費 Total,,28186,72010,26372,,126568,どのPOか不明,,,,,エージェント手数料,VEN0008418 司法書士法人中央ライズアクロス・行政書士法人中央ライズアクロス,34545,,,,34545,司法書士：第二種免許取得用,カット,,,,交通費および宿泊費,INTVEN0265 GROVE Inc.,17640,17640,17640,17640,70560,海外出張宿泊費用,継続 & 金額ダウン,,,,一般管理費,,,-796855,2005,5171,-789679,,,,,,交通費および宿泊費 Total,,,,,241432,241432,,,,,,,VEN0021056 宗政酒造株式会社,,,206945,,206945,SakasukiというUUUMブランド,ショット,,,,,VEN0049485 愛子近藤,,-72320,,,-72320,,継続 & 金額ステイ,,,,人材採用 (新卒採用) Total,,,,2115750,,2115750,,,,,,人材採用 (新卒採用) Total,,,1080000,,,1080000,,,,,,,VEN0057478 株式会社トドオナダ,41333,41333,41333,41333,165332,メディア露出のクリッピングサービス,継続 & 金額ステイ,,,,,SHOPIFY (UPSIDER),328937,540552,257166,609213,1735868,"Shopifyストア
1/ 取引手数料
2/ Subscription",継続 & 金額ステイ,,,,,,CURSOR USAGE  DEC,1533,,,,1533,AI開発ツール,継続 & 金額ステイ
,,VEN0004483 INTEGRAL AD SCIENCE JAPAN K.K.,3550000,3550000,3550000,3550000,14200000,売上連動で顧客へ再販しているツール,継続 & 金額ステイ,,,,,アップルストア,,,,11800,11800,AppStoreへのライセンスFee,継続 & 金額ステイ,,,,,SOUNDRAW INC. (ECRETT),,3799,,3799,7598,AI推進での活用,カット,,,,交通費および宿泊費 Total,,89908,103118,85618,217523,496167,,,,,,業務委託費,Shift Engawa EC to  BC,162500,94000,193678,,450178,社内の会食、メンバーエンゲージメント用,継続 & 金額ステイ,,,,,VEN0040417 株式会社再春館製薬所,33137,,,,33137,FDAライセンス取得代行,カット,,,,,VEN0000649 Expense Claims for AJP,15313,,159803,13798,188914,海外出張宿泊費用,継続 & 金額ダウン,,,,,BCM研修,800000,,,,800000,社内研修のため（ロジカルシンキング）,カット,,,,交際費,VEN0029438 株式会社UPSIDER,,,,7212,7212,,,,,,,VEN0029438 株式会社UPSIDER,1336273,1308539,1571886,843298,5059996,Shopify /月額使用料累計,継続 & 金額ステイ,,,,,VEN0053687 トプシュー株式会社,,,1813500,,1813500,採用メディア,継続 & 金額ステイ,,,,会計士、税理士、監査法人、社労士,PWC監査費用,,,-2526999,,-2526999,調整のため考慮しない,カット,,,,会計士、税理士、監査法人、社労士,VEN0058243 野村総合法律事務所：加茂弁護士,,500000,,,500000,一時的報酬、AnyReachM&Aを全般に対応していただいた弁護士先生。,カット,,,,広告宣伝費 Total,,428786,417792,420643,126991,1394212,,,,,,,VEN0000674 アメリカン・エキスプレス・カンパニー,,58633,,267728,326361,SHOPIFY不明利用,カット,,,,,,CURSOR USAGE  FEB,,,3030,,3030,AI開発ツール,継続 & 金額ステイ
,,VEN0008626 株式会社マクロミル,460000,500000,340000,2960000,4260000,APM配信時の計測ベンダー,継続 & 金額ステイ,,,,IT費用 Total,,1228783.7000000002,3178826.5,1919166,2348781,8675557.2,,,,,,,STORYHUB,,,,50000,50000,PG Webにも記載があり、重複,カット,,,,交際費,VEN0000649 Expense Claims for AJP,77596,3927,,,81523,- 会食費,継続 & 金額ステイ,,,,業務委託費 Total,,162500,94000,193678,,450178,,,,,,エージェント手数料 Total,,67682,,,,67682,,,,,,,VEN0029438 株式会社UPSIDER,118105,5545,351381,93529,568560,海外出張宿泊費用,継続 & 金額ステイ,,,,,CUS0003211 株式会社ADKマーケティング・ソリューションズ,,,400,400,800,,カット,,,,交際費 Total,,,,,7212,7212,,,,,,,VEN0031336 株式会社アンティローザ_AJP,5037807,4961552,6656266,5815707,22471332,ZOZO決済手数料累計,継続 & 金額ステイ,,,,その他 Total,,519995,191231,309128,101009,1121363,,,,,,,VEN0008880 KPMG税理士法人,100000,100000,100000,900000,1200000,AJPの申告書作成及び月次顧問料金,継続 & 金額ステイ,,,,会計士、税理士、監査法人、社労士 Total,,,500000,,,500000,,,,,,Grand Total,,471986,417792,425907,264577,1580262,,,,,,,VEN0002572 Debit Card,57214,33465,23544,35021,149244,SHOPIFY不明利用,カット,,,,,,CURSOR USAGE  MAR,,,,2914,2914,AI開発ツール,継続 & 金額ステイ
,,VEN0014372 株式会社アイズ,,,3000,,3000,リード獲得ツール,継続 & 金額ステイ,,,,一般管理費,VEN0000649 Expense Claims for AJP,16364,8455,3109,49665,77593,（仮）イベント関連費用、定期開催のたびに随時発生,継続 & 金額ステイ,,,,,VEN0022354 一般社団法人 日本ＡＢＣ協会,300000,,,,300000,業界団体の加盟金,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,155903,46778,147123,96725,446529,- 会食費,継続 & 金額ステイ,,,,電話代,Shift Engawa EC to  BC,9322,,26123,4181,39626,日本郵便関係の交通費,継続 & 金額ステイ,販管費_物販/EC受託 ,,,一般管理費,,,445,,3853,4298,項目名が不明,,,,,交通費および宿泊費 Total,,151058,23185,528824,124967,828034,,,,,,,CUS0006547 株式会社ポケモン:CAM0057544 ID - Pokémon - Press conference -Media KOL,,,27344,,27344,不明,,,,,広告宣伝費,PSM SGA Reversal,-1863000,,,,-1863000,,カット,,,,IT費用 Total,,3434474,8784515,14217371,12615200,39051560,,,,,,交通費および宿泊費,VEN0000649 Expense Claims for AJP,,364894,84685,363783,813362,交通費,継続 & 金額ステイ,,,,,VEN0009877 汐留パートナーズ税理士法人,,510000,,,510000,決算税務申告報酬（AnyUP),継続 & 金額ステイ,,,,業務委託費,VEN0011669 淳井原,457745,457745,512745,460327,1888562,井原さん業務委託料。法務相談への助言のみならず、契約法務を含め日常業務も分担していただいている。加えて、トラブル対応や法的機関への出頭等を含め、井原さんの存在は極めて大きく、不可欠と考える。子会社（ENGAWA、GROVE、AnyReach）の機関法務や契約法務の移行を含め、業務ボリュームが急増するなか、法務チーム現状のリソースでは契約継続が必須。,継続 & 金額ステイ,,,,,,,,,,,,,,,,,VEN0013731 株式会社Donuts,155500,153250,166500,224700,699950,ジョブカン,継続 & 金額ステイ,,,,,,"CURSOR, AI POWERED IDE",53746,68509,179196,73688,375139,AI開発ツール,継続 & 金額ステイ
,,VEN0024819 Polar Mobile Group Inc.,43198,,,85008,128206,APM配信時のクリエイティブツール,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,88692,,,,88692,（仮）イベント関連費用,継続 & 金額ステイ,,,,,VEN0023498 一般社団法人 デジタル広告品質認証機構,37500,37496,220833,20833,316662,業界団体の加盟金,継続 & 金額ステイ,,,,交際費 Total,,233499,50705,147123,96725,528052,,,,,,電話代 Total,,9322,,26123,4181,39626,一般管理費と同様,継続 & 金額ステイ,,,,,CUS0005406 D2C_shopify,1073,873,873,373,3192,ブランド事業における自社ECサイトのECカート利用料,継続 & 金額ステイ,,,,交際費,VEN0029438 株式会社UPSIDER,,20082,38669,32643,91394,社外会食,継続 & 金額ステイ,,,,,CUS0009921 パルファン・クリスチャン・ディオール・ジャポン株式会社,600,,600,,1200,不明,カット,,,,,VEN0014717 朋子井上,190000,,,,190000,,カット,,,,エージェント手数料,,,,-727680,,-727680,,,,,,,VEN0029438 株式会社UPSIDER,65067,691575,543222,1254314,2554178,交通費,継続 & 金額ステイ,,,,会計士、税理士、監査法人、社労士 Total,,100000,610000,-2426999,900000,-816999,,,,,,,VEN0055971 愛眞中井,317130,297538,418604,333480,1366752,法務事務派遣費用。子会社（ENGAWA、GROVE、AnyReach）の機関法務や契約法務の移行を含め、業務ボリュームが急増し、各種フローの見直しが必要とする状況で、法務チーム現状のリソースでは、契約継続が必要と考える。,継続 & 金額ダウン,,,,,,,,,,,,,,,,,VEN0014992 三井住友カード株式会社,,8297,,4777,13074,SLACK利用？,カット,,,,,,DATA365.CO,99494,99028,96367,100661,395550,AnyTag、SNSデータソース,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,34457,26467,33217,48707,142848,Figmaなど,継続 & 金額ステイ,,,,一般管理費 Total,,105056,8455,3109,49665,166285,,,,,,,お名前．ｃｏｍ,,23437,,19022,42459,自社メディアのドメインホスティング,継続 & 金額ステイ,,,,広告宣伝費,VEN0024921 ブティックス株式会社,,,,15000,15000,- リード購入費用,継続 & 金額ステイ,,,,Grand Total,,3301813,1895471,5206054,5583851,15987189,,,,,,,CUS0006857 BDP株式会社,400,,,,400,手数料,カット,,,,交際費 Total,,,20082,38669,32643,91394,,,,,,,"CUS0011186 TONYMOLY Co,.Ltd.:CAM0056114 2501-03_TONY MOLY_AnyTagMarketPlace",,294942,,,294942,不明,カット,,,,,VEN0014875 望久保,109956,-2156,,,107800,,カット,,,,,VEN0015709 植村総合事務所/ポラリス知財コンサルティング,,,60000,78001,138001,商標取得,ショット,,,,交通費および宿泊費 Total,,65067,1056469,627907,1618097,3367540,,,,,,業務委託費,VEN0003856 株式会社キャスター,146000,132500,132000,132000,542500,IMのSA業務委託費（5月以降発生せず）,カット,,,,業務委託費 Total,,774875,755283,931349,793807,3255314,,,,,,,,,,,,,,,,,,,VEN0018403 GMOグローバルサイン・ホールディングス株式会社,54423,55277,54330,83250,247280,電子認証・印鑑事業,継続 & 金額ステイ,,,,,,DIFY PROFESSIONAL PLAN,9442,9040,9093,8650,36225,AI開発ツール,継続 & 金額ステイ
,,VEN0030587 リプルゼ株式会社,-192,59,92,0,-41,媒体費用なので原価,カット,,,,交通費および宿泊費,VEN0000649 Expense Claims for AJP,,,67279,,67279,顧客会食（既存顧客、新規問わず）,継続 & 金額ステイ,,,,IT費用 Total,,558588,349460,924433,953457,2785938,,,,,,,VEN0029438 株式会社UPSIDER,26460,500,2400,2225,31585,"- Shopify費用
- Klavioyo費用（メール）
- 各種ツール系（クライアント向きあいで必要）
- 但しツール系の解約と統合により -20万ほど予定",継続 & 金額ダウン,,,,,,,,,,,一般管理費と同様,継続 & 金額ステイ,,,,,CUS0008627 D2C_Qoo10,272,272,272,272,1088,プラットフォーム手数料、広告費用,継続 & 金額ステイ,,,,人材採用 (中途採用),VEN0029438 株式会社UPSIDER,,,17236,,17236,撮影備品返送料(計上ミス),継続 & 金額ステイ,,,,,"INTVEN0502 AnyMind Korea Co., Ltd.",,312160,,,312160,不明,カット,,,,,VEN0017832 合同会社チナミ,250000,,,,250000,,カット,,,,,VEN0059004 株式会社アプトプランニング,,,544500,,544500,POPUP会場,ショット,,,,人材採用 (新卒採用),VEN0000845 株式会社ビズリーチ,889901,1889901,1550401,1489901,5820104,成功報酬やスカウト購入,継続 & 金額ステイ,,,,,VEN0008415 パーソルテンプスタッフ株式会社,1241084,993055,1052382,1106994,4393515,派遣社員（2名）,継続 & 金額ステイ,,,,社内会食,VEN0029438 株式会社UPSIDER,,,2364,,2364,株主総会備品購入,ショット,,,,,,,,,,,,,,,,,VEN0019000 株式会社東名,31271,31602,31153,29016,123042,光回線（インターネット）」の月額料金,継続 & 金額ステイ,,,,,,DNH*GODADDY.COM JAPAN,369,14137.27273,369,369,15244.27273,ドメイン管理,継続 & 金額ステイ
,,VEN0036732 株式会社DataSign,48000,0,96000,48000,192000,売上連動で顧客へ再販しているツール,継続 & 金額ステイ,,,,,VEN0029438 株式会社UPSIDER,,335724,316484,21400,673608,海外出張の影響で高騰。4月のSalesBootCamp以外は、現在予定なし。,継続 & 金額ステイ,,,,エージェント手数料,INTVEN0101 AnyMind Group Pte. Ltd.,,,-1001614,,-1001614,"WebExpenses、Xero、LinkedIn、G Suite、Greenhouse、eloomi、Slack
社内ツール系",継続 & 金額ステイ,,,,,VEN0047187 株式会社R6B,,,,50000,50000,- Klaviyoイベントの協賛広告費,ショット,,,,,,,,,,,,,,,,,CUS0008629 D2C_Rakuten,,227,,,227,プラットフォーム手数料、広告費用,継続 & 金額ステイ,,,,人材採用 (中途採用) Total,,,,17236,,17236,,,,,,,VEN0000649 Expense Claims for AJP,1352476,435592,283182,976915,3048165,社内会食,,,,,,VEN0021137 咲子小嶋,79968,-1567,,,78401,,カット,,,,,VEN0059130 幸代宮本,,,183180,,183180,,ショット,,,,,VEN0002090 ウォンテッドリー株式会社,200000,200000,200000,200000,800000,採用メディア費用,,,,,,VEN0022821 マンパワーグループ株式会社,991463,932414,1096568,1125499,4145944,派遣社員（2名）,継続 & 金額ステイ,,,,社内会食 Total,,,,2364,,2364,,,,,,,,,,,,,,,,,,,X CORP. PAID FEATURES,,1782,,,1782,,ショット,,,,,,ELEVENLABS.IO,58950,60442,3735,74358,197485,AnyLiveアバター,継続 & 金額ステイ
,,"VEN0037465 Five Media Marketing, LTD.",344427,344427,371866,356808,1417528,売上連動で顧客へ再販しているツール,継続 & 金額ステイ,,,,交通費および宿泊費 Total,,,335724,383763,21400,740887,,,,,,エージェント手数料 Total,,,,-1001614,,-1001614,,,,,,広告宣伝費 Total,,26460,500,2400,67225,96585,,,,,,,,,,,,,広告費。時期により変動,継続 & 金額ステイ,,,,,CUS0008874 株式会社エヌライン,445,,,445,890,手数料,カット,,,,広告宣伝費,VEN0029438 株式会社UPSIDER,68981,9882,286263,5456,370582,AdSense支払い費用,継続 & 金額ステイ,,,,,VEN0007433 ヤマト運輸株式会社,229826,268136,236102,,734064, 配送業務関連,継続 & 金額ステイ,,,,,VEN0024899 恵理子羽賀,99960,,,,99960,,カット,,,,エージェント手数料 Total,,,,60000,78001,138001,,,,,,,VEN0002141 株式会社ワンキャリア,,416666,1908333,1725001,4050000,採用メディア費用,,,,,,VEN0029438 株式会社UPSIDER,17000,,,,17000,AIツール利用の固定費,継続 & 金額ステイ,,,,Grand Total,,1020875,2521283,1184540,1045849,5772547,,,,,,,,,,,,,,,,,,,ZOOM.COM 888-799-9666 (UPSIDER),216302,216302,216302,216302,865208,Zoomライセンス利用料,継続 & 金額ステイ,,,,,,ELEVENLABS.IO-87536533,3544,,,,3544,AnyLiveアバター,継続 & 金額ステイ
,,VEN0038792 Lumen Research Ltd,76818,0,161490,-155637,82671,APM配信時の計測ツール,継続 & 金額ステイ,,,,交際費,VEN0000649 Expense Claims for AJP,27273,25000,,7855,60128,顧客会食（既存顧客、新規問わず）,継続 & 金額ステイ,,,,一般管理費,INTCUS0113 AnyMind Japan Inc,-120000,,,,-120000,？,,,,,業務委託費,VEN0017256 株式会社ユーザベース,,,,675000,675000,- DXAIの費用ではなく、全社コスト。SAにもその旨を伝達済みだが・・,カット,,,,,,,,,,,日本郵便用の広告配信コスト,継続 & 金額ステイ,販管費_物販/EC受託 ,,,,INTVEN0095 Cong Ty Tnhh AdAsia Media Viet Nam,,,-21197,,-21197,建替え,カット,,,,広告宣伝費 Total,,68981,9882,286263,5456,370582,,,,,,,VEN0008631 株式会社ソクハイ,70000,97381,90919,,258300,緊急案件 配送業務関連,継続 & 金額ステイ,,,,,VEN0025126 株式会社LAUGH&ROUGH,333000,,,,333000,,カット,,,,オフィス費用,VEN0029438 株式会社UPSIDER,,,682,,682,,,,,,,VEN0002430 株式会社ハウテレビジョン,1500000,,,4500000,6000000,採用費（人材紹介）,継続 & 金額ステイ,,,,,VEN0058362 涼山澤,85572,76647,62572,,224791,元派遣社員（現在、業務委託で必要な分のみ利用）,継続 & 金額ダウン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ（AMAZON PRIME MEMBERSHIP）,5364,,,,5364,,ショット,,,,,,ELEVENLABS.IO-D170E28C,,,54924,,54924,AnyLiveアバター,継続 & 金額ステイ
