Entity in USD,*** PLEASE DO NOT CHANGE ANY FORMULAS FOR BELOW TABLE !!!!!! ***,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,BU in USD,*** For Strategy Meeting Slides (in USD)***,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,,nan.1,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,in JPY,*** For Strategy Meeting Slides (in JPY)***,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
Gross Profit %,0.41155574368264664,0.37109132332039874,0.45445950083110537,0.46407414112519796,0.4569464508443496,0.39529506232270617,0.40720861412896486,0.4348741786761094,0.43262417540005077,0.42493950714105955,0.4119480785569839,0.4279460143942684,,,,Gross Profit %,0.4182679711101154,0.39456756927035375,0.42566040748720757,0.46407414112519785,0.4569464508443495,0.39529506232270634,0.4072086141289647,0.4348741786761095,0.43262417540005077,0.42493950714105955,0.4119480785569839,0.4279460143942684,,0,0,,,,,,,,Gross Profit %,0.41155574368264675,0.37109132332039874,0.4544595008311053,0.46407414112519774,0.4569464508443496,0.3952950623227063,0.4072086141289649,0.43487417867610934,0.43262417540005077,0.4249395071410595,0.41194807855698407,0.42794601439426855,,0,0
Operating Profit %,0.07723227178571798,0.04324539240176185,0.13360640942768814,0.09290278800568617,0.05315663563364699,0.07459330116546929,0.03726262476191616,0.05306450481660574,0.15960929077613364,0.05080038744850453,-0.04236784359819746,0.17128268772919691,,,,Operating Profit %,0.06559391837273731,0.05934481697427462,0.12513977279798996,0.09290278800568606,0.05315663563364688,0.07459330116546954,0.03726262476191596,0.05306450481660594,0.15960929077613364,0.05080038744850453,-0.04236784359819746,0.17128268772919691,,,,,,,,,,,Operating Profit %,0.07108654026501662,0.0312732551519438,0.12037915039648502,0.07740063889143657,0.020276405772292318,0.05267497529968032,0.005315291482012582,0.01520189735147828,0.13751088737120104,0.014271507494339513,-0.0780885346614673,0.14765443626591618,,,
GP Per Person,16438.17945591867,14745.828309835384,18872.012287275436,14757.53651178756,14734.22432059715,16409.28714282117,14183.671401403608,14996.639412578203,23496.976818808977,14742.77399435427,14163.714444534538,25178.38598031727,0,,,GP Per Person,13439.587537562218,13004.269600897916,15878.51025964599,8206.753711006188,12690.997302210995,14175.463489060914,12090.576964102716,36019.231033342854,63766.18737625097,11986.474449573627,11345.965431945373,20263.759906554795,0,,,,,,,,,,GP Per Person,2555456.6683847965,2239710.4882788816,2831968.6141603496,2163722.0636480274,0,2365210.5997779076,2077110.1669171262,2230374.907802142,3473186.7734095533,2210954.009765099,2196200.522008895,3939367.091865622,0,,
OP Per Person,3084.7776100553733,1718.4156337637182,5548.177110979006,2954.304419368414,1714.0340889116405,3096.4790973176127,1297.9117013704413,1829.929858710587,8668.80775205267,1762.4594051461584,-1456.703088548478,10077.489866323738,0,,,OP Per Person,2107.6325915235598,1955.90327095693,4668.11836692227,1642.9062355853114,1476.3452439004045,2674.9502282839417,1106.3779520777548,4395.16244555604,23525.44430326875,1432.9511282127241,-1166.9045540279699,8110.44183974139,0,,,,,,,,,,OP Per Person,441394.81987820135,188748.78814117468,750143.7974091981,360876.5394766393,0,315175.73022486723,27112.505959708826,77967.2191780645,1103962.7981395747,74254.4437261003,-416309.94174597453,1359201.8797446482,0,,
Full-time HC,213.99999999999986,223.9999999999998,233.9999999999999,258.99999999999983,258.69999999999897,263.24999999999983,259.4999999999997,252.49999999999926,244.99999999999986,245.99999999999926,247.9999999999996,235.9999999999996,,,,Full-time HC,252.17431666666593,264.124156666666,278.11493666666604,465.73859666666596,300.350219999999,304.73393999999956,304.42407666666594,105.12860333333322,90.27918333333253,302.56789999999927,309.59032999999994,293.2377366666663,,,,,,,,,,,Full-time HC,213.99999999999986,223.9999999999998,233.9999999999999,258.99999999999983,,263.24999999999983,259.4999999999997,252.49999999999926,244.99999999999986,245.99999999999926,247.9999999999996,235.9999999999996,,,
Non Full-time HC,38.174316666666606,40.12415666666661,43.114936666666544,30.630006666666652,29.736659999999947,27.22163333333325,27.856856666666552,30.844133333333275,29.979919999999908,31.452606666666547,36.94056999999997,34.058443333333244,,,,Non Full-time HC,,,,,,,,,,,,,,,,,,,,,,,Non Full-time HC,38.174316666666606,40.12415666666661,43.114936666666544,30.630006666666652,29.736659999999947,27.22163333333325,27.856856666666552,30.844133333333275,29.979919999999908,31.452606666666547,36.94056999999997,34.058443333333244,,,
Revenue MoM%,,0.041352029363585174,0.09169793702898943,-0.1524069636984794,0.012819692476533806,0.3100211499758627,-0.17287268747138806,-0.03665323523429165,0.5281837530826925,-0.35861334895826835,-0.0009225504521644945,0.6284129304637232,,,,Revenue MoM%,,0.07433696355355468,0.19178553505709472,-0.20611892466627746,0.012819692476533806,0.31002114997586294,-0.1728726874713884,-0.036653235234291204,0.5281837530826923,-0.35861334895826835,-0.0009225504521644945,0.6284129304637232,,,,,,,,,,,Revenue MoM%,,0.01743219154921105,0.07857414176503186,-0.17185809325051948,-0.00840802082055403,0.31543663745689887,-0.15964433862459615,-0.021646744855078448,0.5188252441007313,-0.3492648475028609,0.032983735667881264,0.6431162089245901,,,
GP MoM%,,-0.06103435913434985,0.3369552677257919,-0.13447510806576934,-0.002736151813375165,0.13327259937547087,-0.14794441229820454,0.02879609755773993,0.5202770558827732,-0.37000624819799144,-0.03146676467005449,0.6916520786336045,,,,GP MoM%,,0.01346159296290228,0.28570099521323944,-0.1344751080657698,-0.002736151813375165,0.13327259937547176,-0.14794441229820554,0.02879609755774104,0.5202770558827725,-0.37000624819799144,-0.03146676467005449,0.6916520786336045,,,,,,,,,,,GP MoM%,,-0.08260238340420478,0.3208831230275493,-0.1543377497847126,-0.023637829780449593,0.13795742723083215,-0.13431738248036418,0.0448221219394449,0.5109669670574941,-0.3608238034183052,0.0014029242702109368,0.7069263564938097,,,
Staff Cost MoM%,,0.08942078918180663,0.006127750951976152,0.09724062926638055,-0.05202658814353667,0.0917743538128839,-0.097228620550877,-0.06185239499439843,0.08504173246541424,-0.06847472945582689,-0.018104573641533173,-0.10451862219125319,,,,Staff Cost MoM%,,0.08942078918180663,0.006127750951976152,0.09724062926638055,-0.05202658814353667,0.0917743538128839,-0.097228620550877,-0.06185239499439843,0.08504173246541424,-0.06847472945582689,-0.018104573641533173,-0.10451862219125319,,,,,,,,,,,Staff Cost MoM%,,0.22887720834262182,-0.0335283243198683,0.13300991035912646,-0.06028434172139063,0.019643627990862944,-0.008751296171737866,-0.045569282711070525,-0.008530456116427887,0.016600557432462804,0.00799231330737249,-0.18920217977013332,,,
Other SG&A MoM%,,-0.005898339540272968,0.09549116689348036,-0.06608847343651947,0.17400215605591884,0.02101825123386858,-0.02506136813987736,0.01527877374142661,0.0954017318238527,-0.13909220146172563,0.29908823109382165,-0.073163365983819,,,,Other SG&A MoM%,,-0.005898339540272968,0.09549116689348036,-0.06608847343651947,0.17400215605591884,0.02101825123386858,-0.02506136813987736,0.01527877374142661,0.0954017318238527,-0.13909220146172563,0.29908823109382165,-0.073163365983819,,,,,,,,,,,Other SG&A MoM%,,-0.06624156136701131,0.10768804997112391,-0.11822739297275864,0.22157003149116994,0.03754069028902052,-0.01661750741203205,0.05057290607690246,0.09799142172867059,-0.1336971426936503,0.32574750544099595,-0.019498720252693058,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,,,DM,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST),,,,,,,,DM,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST)
Revenue,8660.99614906,11990.97301258,17018.60083945,17199.27263322,5238.9323249342,5250.9754098,9422.90518255999,-5150.33280517039,12469.3668712299,1349.83101139,11487.9715209161,8861.35844291687,,,,Revenue,8660.99614906,11990.97301258,17018.60083945,17199.27263322,5238.9323249342,5250.9754098,9422.90518255999,-5150.33280517039,12469.3668712299,1349.83101139,11487.9715209161,8861.35844291687,,,,,,,,,,,Revenue,1346426.4959098836,1821281.7521435157,2553842.3089487865,2521724.7909548357,752023.2435364067,756867.8998871394,1379925.6625935761,-765983.1472541487,1843149.4580732272,202432.3433487401,1781304.554667501,1386432.9455645438,5721550.557002186,,
Cost,460.97419873000035,9397.59837613001,14285.286710670009,18849.01222975,3028.0905647754,-4700.2216008737005,892.5038257651904,5672.946571621809,5962.5676065399,3960.9844888766,21284.845041784392,-2055.524481540031,,,,Cost,460.97419873000035,9397.59837613001,14285.286710670009,18849.01222975,3028.0905647754,-4700.2216008737005,892.5038257651904,5672.946571621809,5962.5676065399,3960.9844888766,21284.845041784392,-2055.524481540031,,,,,,,,,,,Cost,71662.41208504213,1427379.9481045185,2143676.2011953937,2763606.4872280965,434667.666426286,-677483.0530377484,130701.61582605855,843708.869604155,881352.1461202321,594023.5224153051,3300390.44310749,-321603.8353464348,3642718.5613849545,,
Gross Profit,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,Gross Profit,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,,,,,,,,Gross Profit,1274764.0838248415,393901.8040389973,410166.1077533928,-241881.69627326075,317355.5771101207,1434350.9529248879,1249224.0467675175,-1609692.0168583037,961797.3119529951,-391591.179066565,-1519085.888439989,1708036.7809109786,2078831.9956172316,0,0
Staff Costs,0,0,0,0,0,0,0,0,0,0,0,0,,,,Staff Costs,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Staff Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Direct SG&A,0,0,0,0,0,0,0,0,0,0,0,0,,,,Direct SG&A,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Direct SG&A,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Indirect SG&A,0,0,0,0,0,0,0,0,0,0,0,0,,,,Indirect SG&A,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Indirect SG&A,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Operating Profit b/f adj,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,Operating Profit b/f adj,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,,,,,,,,Operating Profit b/f adj,1274764.0838248415,393901.8040389973,410166.1077533928,-241881.69627326075,317355.5771101207,1434350.9529248879,1249224.0467675175,-1609692.0168583037,961797.3119529951,-391591.179066565,-1519085.888439989,1708036.7809109786,2078831.9956172316,,
One-time adjustment ( ie.yearly bonus reversal),,,,,,,,,,,,,,,,One-time adjustment ( ie.yearly bonus reversal),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,One-time adjustment ( ie.yearly bonus reversal),,,,,,,,,,,,,0,,
Operating Profit,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,Operating Profit,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,,,,,,,,Operating Profit,1274764.0838248415,393901.8040389973,410166.1077533928,-241881.69627326075,317355.5771101207,1434350.9529248879,1249224.0467675175,-1609692.0168583037,961797.3119529951,-391591.179066565,-1519085.888439989,1708036.7809109786,2078831.9956172316,,
Gross Profit %,0.9467758453188978,0.21627724737010262,0.16060745266696813,-0.09591914912399052,0.42200235144029424,1.8951139996012136,0.9052835820297709,2.1014718439023534,0.5218227462456728,-1.9344299067464326,-0.8527940292184018,1.2319649402268642,,,,Gross Profit %,0.9467758453188978,0.21627724737010262,0.16060745266696813,-0.09591914912399052,0.42200235144029424,1.8951139996012136,0.9052835820297709,2.1014718439023534,0.5218227462456728,-1.9344299067464326,-0.8527940292184018,1.2319649402268642,,0,0,,,,,,,,Gross Profit %,0.9467758453188978,0.21627724737010273,0.1606074526669681,-0.09591914912399054,0.42200235144029424,1.8951139996012138,0.9052835820297708,2.1014718439023534,0.5218227462456729,-1.934429906746432,-0.8527940292184018,1.2319649402268642,,0,0
Operating Profit %,0.9467758453188978,0.21627724737010262,0.16060745266696813,-0.09591914912399052,0.42200235144029424,1.8951139996012136,0.9052835820297709,2.1014718439023534,0.5218227462456728,-1.9344299067464326,-0.8527940292184018,1.2319649402268642,,,,Operating Profit %,0.9467758453188978,0.21627724737010262,0.16060745266696813,-0.09591914912399052,0.42200235144029424,1.8951139996012136,0.9052835820297709,2.1014718439023534,0.5218227462456728,-1.9344299067464326,-0.8527940292184018,1.2319649402268642,,,,,,,,,,,Operating Profit %,0.9467758453188978,0.21627724737010273,0.1606074526669681,-0.09591914912399054,0.42200235144029424,1.8951139996012138,0.9052835820297708,2.1014718439023534,0.5218227462456729,-1.934429906746432,-0.8527940292184018,1.2319649402268642,,,
GP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,,GP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,GP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,,OP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,OP Per Person,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Full-time HC,0,0,0,0,0,0,0,0,0,0,0,0,,,,Full-time HC,,,,,,,,,,,,,,,,,,,,,,,Full-time HC,0,0,0,0,0,0,0,0,0,0,0,0,,,
Non Full-time HC,0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time HC,,,,,,,,,,,,,,,,,,,,,,,Non Full-time HC,0,0,0,0,0,0,0,0,0,0,0,0,,,
Revenue MoM%,,0.3844796610239125,0.4192843918166942,0.010616136747927829,-0.6953980300995216,0.0022987670232887947,0.7945056769783829,-1.5465758919767842,-3.421079829775655,-0.8917482318605595,7.510673872491834,-0.22864028459828334,,,,Revenue MoM%,,0.3844796610239125,0.4192843918166942,0.010616136747927829,-0.6953980300995216,0.0022987670232887947,0.7945056769783829,-1.5465758919767842,-3.421079829775655,-0.8917482318605595,7.510673872491834,-0.22864028459828334,,,,,,,,,,,Revenue MoM%,,0.3526781875402236,0.40222253143595177,-0.01257615549770219,-0.7017821904143403,0.006442163047980731,0.8232054269963676,-1.5550901530554047,-3.406253276825268,-0.890170413222834,7.799505677799523,-0.22167551756845083,,,
GP MoM%,,-0.6837356470313324,0.05396038442080253,-1.6035675077223401,-2.340115594490793,3.501089670912914,-0.14277635668904431,-2.268788996448688,-1.6011855592162014,-1.4012961475016399,2.751933237680996,-2.114323146175449,,,,GP MoM%,,-0.6837356470313324,0.05396038442080253,-1.6035675077223401,-2.340115594490793,3.501089670912914,-0.14277635668904431,-2.268788996448688,-1.6011855592162014,-1.4012961475016399,2.751933237680996,-2.114323146175449,,,,,,,,,,,GP MoM%,,-0.6910002336611789,0.04129024936576653,-1.5897164385378448,-2.3120280781874247,3.519696694749359,-0.12906667352217038,-2.2885534992890433,-1.597503933597292,-1.4071452209316455,2.8792648293585943,-2.124384601232147,,,
Staff Cost MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,,Staff Cost MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Staff Cost MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,
Other SG&A MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,,Other SG&A MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Other SG&A MoM%,,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,,,PG,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST),,,,,,,,PG,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST)
Revenue,3160056.123151083,3125921.564907527,4091342.009512093,3301623.786824252,3227728.943859999,3505501.2699426142,3788923.4219870884,3777284.4023292,3759613.6666275323,3629347.764818581,3888374.979460137,4440526.35472178,,,,Revenue,3160056.123151083,3125921.564907527,4091342.009512093,3301623.786824252,3227728.9438599986,3505501.2699426142,3788923.4219870875,3777284.4023292,3759613.6666275323,3629347.7648185813,3888374.9794601374,4440526.354721781,,,,,,,,,,,Revenue,491257959.19383556,474789151.7081336,613954250.578052,484077828.8239838,463324784.33922577,505277815.48575604,554864191.2770903,561776549.9863471,555724277.2443786,544288408.445422,602924550.1311231,694757138.3657275,1580001361.4800212,496414775,
Cost,1910915.006487265,2161500.8886121484,2685946.0975098438,2094517.218540883,2047178.33475655,2323897.6052112454,2474149.7379213194,2511336.48671405,2491678.7854172634,2345496.2955141515,2628958.518590808,2825215.3068991797,,,,Cost,2039566.6064872649,2029824.6886121489,2685946.0975098433,2094517.218540883,2047178.3347565504,2323897.6052112454,2474149.7379213194,2511336.4867140497,2491678.7854172634,2345496.295514152,2628958.518590808,2825215.3068991797,,,,,,,,,,,Cost,297068206.9227689,328305477.9242032,403057974.51197547,307094149.13713527,293862488.7505903,334963194.976375,362323789.7772472,373498470.61849517,368305500.2279684,351750928.3830906,407641660.207066,442028341.9331954,1028431659.3589475,310355394,
