Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,総計,,,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,総計,AZXは月額定額の料金設定となっているが、タイムチャージに変換した場合、相場より安く設定しており、毎月未使用の時間を翌月または以降繰越していただいてる。例えば株主総会前後、相談する案件が増える、大きなプロジェクトやインシデントが発生した場合も、上記繰越で対応していただいており、別途の請求が基本発生しないことが多い。法務チームのみならず、内部監査（村田さん）やKeizoさん直の相談も対応していただいている。井原さんも弁護士資格を持っているが、上場会社として一番多く関る会社法等の法律に関して、AZXは圧倒的な知見をもっているため、JHDの機関法務関連を含め、AZXのサポートは引き続き必要と考える。,継続 & 金額ステイ,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,総計,,,,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,総計,,
,IT費用,INTVEN0383 AnyMind Group Pte. Ltd.,,,,,,,,120135,120135,240270,IzawaさんAward食事会,ショット,,,,一般管理費,VEN0046746 EIWA司法書士法人,,,10500,,,280500,33000,,61160,385160,,,,,,会計士、税理士、監査法人、社労士,VEN0064193 辻・本郷税理士法人,,,,,50000,65000,45000,30000,190000,,,,,,,IT費用,INTVEN0383 AnyMind Group Pte. Ltd.,132709,124235,122473,122001,124352,,121086,,,746856,Travel Insurance,
,IT費用 集計,,,,,,,,,120135,120135,240270,会社役員賠償責任保険の費用。保険金支払限度額を下げることで、次回更新時に費用削減も可。,継続 & 金額ダウン,,,,一般管理費 集計,,,,10500,,,280500,33000,,61160,385160,,,,,,会計士、税理士、監査法人、社労士 集計,,,,,,50000,65000,45000,30000,190000,,,,,,,,東京商工リサーチ,3000,273000,3000,3000,3000,123135,,,,408135,,
,オフィス費用,VEN0050167 立替金,,2400,,,,,,,,2400,,,,,,会計士、税理士、監査法人、社労士,VEN0046746 EIWA司法書士法人,,,17500,,,158280,30000,,30000,235780,,,,,,業務委託費,VEN0000327 TH中央社会保険労務士法人,30000,30000,30000,30000,,,,,120000,,,,,,,,(空白),,,,,,,3000,3000,3000,9000,,
,オフィス費用 集計,,,2400,,,,,,,,2400,,,,,,,VEN0052258 AZX Professionals Group,400000,400000,400000,400000,400000,400000,400000,400000,400000,3600000,,,,,,業務委託費 集計,,30000,30000,30000,30000,,,,,120000,,,,,,,IT費用 集計,,135709,397235,125473,125001,127352,123135,124086,3000,3000,1163991,,
,その他,VEN0025017 三井住友海上火災保険株式会社,93333,93333,93333,93333,93337,,,,,466669,サブスクリプションの費用継続です,継続 & 金額ステイ,,,,,VEN0067678 弁護士法人モリソン・フォースター法律事務所,,,,,,,,1300000,,1300000,,,,,,総計,,30000,30000,30000,30000,50000,65000,45000,30000,310000,,,,,,,その他,INTVEN0383 AnyMind Group Pte. Ltd.,,,,,,,,,35224,35224,株主総会会場費用,継続 & 金額ステイ
,,VEN0065986 三井住友海上火災保険株式会社,,,,,,252000,126000,126000,,504000,,,,,,会計士、税理士、監査法人、社労士 集計,,400000,400000,417500,400000,400000,558280,430000,1700000,430000,5135780,,,,,,,,,,,,,,,,,,,,,,,その他 集計,,,,,,,,,,35224,35224,銀行支払利息,継続 & 金額ステイ
,その他 集計,,93333,93333,93333,93333,93337,252000,126000,126000,,970669,,,,,,総計,,400000,400000,428000,400000,400000,838780,463000,1700000,491160,5520940,,,,,,,,,,,,,,,,,,,,,,,一般管理費,INTVEN0383 AnyMind Group Pte. Ltd.,4133,85986,4957,29669,-124745,,,7906,9380,17286,,
,一般管理費,VEN0015683 PwC Japan有限責任監査法人,,,,56240,11298,11298,11298,11298,,101432,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEN0051105 株式会社 コンベンション リンケージ,,,623700,,,,,,,623700,Regional チームのbootcamp,継続 & 金額ステイ
,,VEN0015683 PwCあらた有限責任監査法人,11298,11298,11298,,,,,,,33894,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行支払利息,66452,45061,20181,23338,23490,,,,,178522,,
,,VEN0022684 公益財団法人　財務会計基準機構,25000,25000,25000,25000,25000,25000,,25000,25000,200000,上場会社基本加入している。年間料金支払い済み、2026年3月にカットでくるか再検討,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(空白),,,,,,26072,37361,83869,31347,178649,minor,カット
,,VEN0022684 公益財団法人 財務会計基準機構,,,,,,,25000,,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般管理費 集計,,70585,131047,648838,53007,-101255,26072,37361,91775,40727,998157,,
,,VEN0048869 一般社団法人 G1,19835,19835,19832,,218182,,,,,277684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会計士、税理士、監査法人、社労士,INTVEN0385 AnyMind Holdings Limited,,,-1458,,,,,,,-1458,銀行支払利息,継続 & 金額ステイ
,,VEN0062455 株式会社コンベンションリンケージ,,,,319600,,,,,,319600,株主総会機材関連費用（１年１回の費用）,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会計士、税理士、監査法人、社労士 集計,,,,-1458,,,,,,,-1458,,
,,銀行支払利息,,,,,4400,,,,,4400,定額でかかる費用継続,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,業務委託費,INTVEN0383 AnyMind Group Pte. Ltd.,,,,,,,,91391,91489,182880,,
,,(空白),,,,,-151204,,77730,,2627,-70847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEN0027987 株式会社プルータス・コンサルティング,,,,,,,3000000,,,3000000,,
,一般管理費 集計,,56133,56133,56130,400840,107676,36298,114028,36298,27627,891163,regional team 交通費および宿泊費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEN0068361 株式会社ファイブドライブ,,,,,,,,,50000,50000,SO発行Valuation費用,ショット
,会計士、税理士、監査法人、社労士,Accrual_PwC監査費用_年間費2025年Q2,,,,,,4166667,,,,4166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(空白),,,,,,,,619441,,619441,SO発行電子公告費用,ショット
,,INTVEN0383 AnyMind Group Pte. Ltd.,-20081,-772177,430,2479022,,,,,,1687194,izawa award fee,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,業務委託費 集計,,,,,,,,3000000,710832,141489,3852321,,
,,PWC監査費用,,,4997992,500000,8333333,,,,,13831325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交際費,VEN0066756 東海東京サービス株式会社,,,,,,,13637,,,13637,銀行支払利息,継続 & 金額ステイ
,,VEN0012322 宝印刷株式会社,,,,,,1692000,,310000,350000,2352000,Accrual_PwC監査費用_年間費2025年,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交際費 集計,,,,,,,,13637,,,13637,,
,,VEN0015982 みずほ証券株式会社,500000,,500000,,,,,,,1000000,Accrual_PwC監査費用_年間費2025年,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交通費および宿泊費,INTVEN0383 AnyMind Group Pte. Ltd.,323578,80775,,16246,179516,,,,,600115,,
,,VEN0019258 KPMG税理士法人,,,,,,1700000,,,,1700000,Stamp Duty for Arche Digital ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交通費および宿泊費 集計,,323578,80775,,16246,179516,,,,,600115,,
,,VEN0019719 Global Shares Ireland Ltd,179191,342000,,,,,,,,521191,外国従業員Stock Option行使Platformシステム使用、年間約200万、新株予約権を持っている人のアカウント数でチャージ,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,財務費用,銀行支払利息,3507711,3496911,3659167,3035638,2936283,2842940,6102307,10909081,3483826,39973864,,
,,VEN0037210 ログミー株式会社,,,,,980000,,,,,980000,半期報告書関連費用,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,財務費用 集計,,3507711,3496911,3659167,3035638,2936283,2842940,6102307,10909081,3483826,39973864,,
,,VEN0058348 株式会社I-GLOCAL,,,1650000,,,,,,,1650000,DD報酬費用,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総計,,4037583,4105968,4432020,3229892,3141896,2992147,9277391,11714688,3704266,46635851,,
,,VEN0063142 株式会社Next Unicorn Lab,,,,495000,495000,495000,495000,1495000,495000,3970000,税務申告書作成業務報酬*FY24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0066254 業務委託長谷川直毅,,,,,,123200,,95200,,218400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(空白),,,,,,,7200000,10000000,5000000,22200000,（2025年5月～2026年4月まで年4回分）IR決算説明会の書き起こしと掲載サービス。,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,会計士、税理士、監査法人、社労士 集計,,659110,-430177,7148422,3474022,9808333,8176867,7695000,11900200,5845000,54276777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業務委託費,INTVEN0383 AnyMind Group Pte. Ltd.,,1929283,,,,,,,,1929283,"
経理決算支援業務・財務DD業務",ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0012322 宝印刷株式会社,,,2121300,300000,50000,,,50000,,2521300,2ヵ月1回の請求で申し訳ないですが、4半期のタイミングで10万程度,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015982 みずほ証券株式会社,,,40000,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0019719 Global Shares Ireland Ltd,,40018,,37329,,,28601,,,105948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0021584 株式会社東京証券取引所,,,757800,,,,,777500,44500,1579800,M&A cost - Bloga,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0024429 DocuSign Inc,,105416.6667,,52708,52708,52708,52708,52708,52708,421664.6667,内容確認しますが、宝印刷なのでWizlabo関連の費用だと思います,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037031 株式会社みんせつ,16667,16667,16667,16667,16667,16667,16667,16667,16667,150003,非居住者のストックオプションの口座管理料金,継続 & 金額ダウン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037694 株式会社証券保管振替機構,,,,,353414,,,,,353414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,三菱信託銀行　手数料・証券手数料,,,,944785,296691,,,,,1241476,株主総会の招集通知郵送料など4月はいつも普段より高い,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,三菱信託銀行　証券手数料,724870,234342,217517,,,,,,,1176729,半年分。全ての上場会社は、株式の保管や決済、権利処理などのサービス利用料。,継続 & 金額ステイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(空白),,,,,,245691,1501693,314804,282917,2345105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業務委託費 集計,,741537,2325726.6667,3153284,1351489,769480,315066,1599669,1211679,396792,11864722.6667,株式売買（市場での）の名義書き換え等でかかる費用（確か年1回）,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交際費,VEN0050167 立替金,,85782,,,,,,,,85782,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交際費 集計,,,85782,,,,,,,,85782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交通費および宿泊費,INTVEN0432 AnyMind Hong Kong Limited,,11088,,77267,-22039,,,,,66316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0010901 Payroll-Salary AnyMind Group,7580,7580,7580,7580,7580,7580,7580,7580,,60640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015683 PwC Japan有限責任監査法人,,,,847886,,,,,,847886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0050167 立替金,,201137,,11272,,,,,,212409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交通費および宿泊費 集計,,7580,219805,7580,944005,-14459,7580,7580,7580,,1187251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総計,,1557693,2353002.6667,10458749,6263689,10764367,8787811,9542277,13401892,6389554,69519034.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
