科目,Account Number,Account (Line): Name,Type,Subsidiary,Date,Document Number,Transaction Number,Vendor Name,JE Name,Split,Memo,Description,Department,Class: Name,Cost Items,Nature,Amount,Type.1,Irregular?,Entity Level Dept,Month (YYMM),BU Level Dept,Unnamed: 23
一般管理費,48040.0,Training,Journal,AnyMind Japan Inc,2025-01-31,JEAJP0020214,JOURNAL212031,BCM研修,,"83080 - Non-trade Accruals, Provisions and Other Liabilities",AJP_SGA Accrual 2025.01,BCM研修_SGA Accrual 2025.01,Brand Commerce & Marketing,BC,General expenses,,100000.0,Local,,D2C,2025-01-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-01-31,UPSIDER_202501,VENDBILL324428,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202501,,Brand Commerce & Marketing,BC,General expenses,,390405.0,Local,,D2C,2025-01-01,BC,
交際費,41010.0,Client Gifts and Entertainment<USD50/person,Bill,AnyMind Japan Inc,2025-02-28,UPSIDER_202502,VENDBILL333651,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202502,,Brand Commerce & Marketing,BC,Client Gifts and Entertainment,,57070.0,Local,,D2C,2025-02-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-02-28,SGA_google_2502,VENDBILL330837,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,166663.0,Local,,D2C,2025-02-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-02-28,UPSIDER_202502,VENDBILL333651,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202502,,Brand Commerce & Marketing,BC,Advertising and marketing events,,10470.0,Local,,D2C,2025-02-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-02-28,AJP_BM_202502月_法人_0004_,VENDBILL333954,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,,2025年2月EC広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,4111104.0,Local,,D2C,2025-02-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-02-28,JEAJP0020519,JOURNAL214151,,,- Split -,Upsider_Yahoo_利用分_2025.02,Upsider_Yahoo_利用分_2025.02,Brand Commerce & Marketing,BC,Advertising and marketing events,,15030.0,Local,,D2C,2025-02-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-02-28,UPSIDER_202502,VENDBILL333651,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202502,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,39309.0,Local,,D2C,2025-02-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-02-28,UPSIDER_202502,VENDBILL333651,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202502,,Brand Commerce & Marketing,BC,IT expenses,,162261.0,Local,,D2C,2025-02-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-02-28,AJP_BM_202502月_法人_0007_,VENDBILL333955,VEN0040859 株式会社GROOVE,,80010 - Accounts Payable : Trade Creditors,,2025年2月ダイニチ Amazon運用代行費用,Brand Commerce & Marketing,BC,Other outsourced services,,672762.0,Local,,D2C,2025-02-01,BC,
一般管理費,48040.0,Training,Journal,AnyMind Japan Inc,2025-02-01,JEAJP0020215,JOURNAL212032,,,"83080 - Non-trade Accruals, Provisions and Other Liabilities",AJP_SGA Accrual 2025.01,BCM研修_SGA Accrual 2025.01,Brand Commerce & Marketing,BC,General expenses,,-100000.0,Local,,D2C,2025-02-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-02-28,UPSIDER_202502,VENDBILL333651,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202502,,Brand Commerce & Marketing,BC,General expenses,,192666.0,Local,,D2C,2025-02-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202502月_法人_0006_,VENDBILL337149,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年2月Amazon売上,Brand Commerce & Marketing,BC,Advertising and marketing events,,123782.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_法人_0005_,VENDBILL343147,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年3月Amazon売上,Brand Commerce & Marketing,BC,Advertising and marketing events,,263709.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_法人_0006_,VENDBILL343148,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,,2025年3月EC広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,6493148.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_法人_0004_,VENDBILL343146,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年3月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,302406.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202502月_法人_0005_,VENDBILL337148,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年2月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,250293.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-31,SGA_google_2503,VENDBILL343275,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,296545.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-03-31,UPSIDER_202503,VENDBILL346152,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202503,,Brand Commerce & Marketing,BC,Advertising and marketing events,,15000.0,Local,,D2C,2025-03-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-03-31,JEAJP0020790,JOURNAL216704,,,- Split -,Upsider_Yahoo_利用分_2025.03,Upsider_Yahoo分配_BC分_2025.03,Brand Commerce & Marketing,BC,Advertising and marketing events,,35646.0,Local,,D2C,2025-03-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-03-31,UPSIDER_202503,VENDBILL346152,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202503,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,12945.0,Local,,D2C,2025-03-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-03-31,UPSIDER_202503,VENDBILL346152,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202503,,Brand Commerce & Marketing,BC,IT expenses,,170652.0,Local,,D2C,2025-03-01,BC,
業務委託費,42620.0,Other Outsourced Services - non-recurring service,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_法人_0007_,VENDBILL343149,VEN0040859 株式会社GROOVE,,80010 - Accounts Payable : Trade Creditors,,2025年3月ダイニチ Amazon運用代行費用,Brand Commerce & Marketing,BC,Other outsourced services,,569409.0,Local,,D2C,2025-03-01,BC,
業務委託費,42620.0,Other Outsourced Services - non-recurring service,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_個人_0009_,VENDBILL343151,VEN0061184 崇秋山,,80010 - Accounts Payable : Trade Creditors,,サンサンスポンジ撮影時交通費,Brand Commerce & Marketing,BC,Other outsourced services,,3000.0,Local,,D2C,2025-03-01,BC,
業務委託費,42620.0,Other Outsourced Services - non-recurring service,Bill,AnyMind Japan Inc,2025-03-01,AJP_BM_202503月_個人_0008_,VENDBILL343150,VEN0061184 崇秋山,,80010 - Accounts Payable : Trade Creditors,,サンサンスポンジ撮影費,Brand Commerce & Marketing,BC,Other outsourced services,,50000.0,Local,,D2C,2025-03-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-03-31,UPSIDER_202503,VENDBILL346152,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202503,,Brand Commerce & Marketing,BC,General expenses,,364438.0,Local,,D2C,2025-03-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-03-31,UPSIDER_202503,VENDBILL346152,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202503,,Brand Commerce & Marketing,BC,General expenses,,305.0,Local,,D2C,2025-03-01,BC,
交際費,41010.0,Client Gifts and Entertainment<USD50/person,Bill,AnyMind Japan Inc,2025-04-30,UPSIDER_202504,VENDBILL353333,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202504,,Brand Commerce & Marketing,BC,Client Gifts and Entertainment,,216274.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-04-01,AJP_BC_202504月_法人_0004_,VENDBILL354916,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年4月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,361042.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-04-30,SGA_google_2504,VENDBILL355436,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,391399.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-04-30,UPSIDER_202504,VENDBILL353333,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202504,,Brand Commerce & Marketing,BC,Advertising and marketing events,,121018.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-04-30,JEAJP0021084,JOURNAL219048,,,- Split -,Upsider_Yahoo_利用分_2025.04,Upsider_Yahoo分配_BC分_2025.04,Brand Commerce & Marketing,BC,Advertising and marketing events,,36633.0,Local,,D2C,2025-04-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-04-30,UPSIDER_202504,VENDBILL353333,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202504,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,24045.0,Local,,D2C,2025-04-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-04-30,UPSIDER_202504,VENDBILL353333,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202504,,Brand Commerce & Marketing,BC,IT expenses,,206292.0,Local,,D2C,2025-04-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-04-30,UPSIDER_202504,VENDBILL353333,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202504,,Brand Commerce & Marketing,BC,General expenses,,369012.0,Local,,D2C,2025-04-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-04-30,AJP_ExpenseClaim_202504,VENDBILL349552,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202504,BCM締め会　ドリンク代,D2C Solutions,BC,General expenses,,19092.0,Local,,D2C,2025-04-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-04-30,AnyLogi-202504,VENDBILL355339,VEN0017033 佐川急便株式会社,,80011 - Accounts Payable : Non-trade Creditors,,4月　BCM,Brand Commerce & Marketing,BC,General expenses,,53500.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-04-30,AJP_BC_202504月_法人_0005_,VENDBILL333954,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,,2025年4月EC広告費,Brand Commerce & Marketing,Not Applicable,Advertising and marketing events,,3898408.0,Local,,D2C,2025-04-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-01,5272726909,VENDBILL362299,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,354429.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-01,RC250021759501-1,VENDBILL364998,VEN0052042 株式会社オプト,,80010 - Accounts Payable : Trade Creditors,Metaの広告費,BM【販管費】,Brand Commerce & Marketing,BC,Advertising and marketing events,,77217.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-30,UPSIDER_D2C_202505,VENDBILL362460,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202505,,Brand Commerce & Marketing,BC,Advertising and marketing events,,69800.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-30,AJP_BC_202505月_法人_Amazon売上,VENDBILL366426,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,25年5月Amazon売上,Brand Commerce & Marketing,BC,Advertising and marketing events,,80562.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-30,AJP_BC_202505月_法人,VENDBILL365970,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,,2025年5月EC広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,4116350.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-05-30,AJP_BC_202505月_法人_楽天広告費,VENDBILL366429,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,25年5月楽天広告費,25年5月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,434692.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-05-31,JEAJP0021435,JOURNAL221998,,,- Split -,Upsider_Yahoo_利用分_2025.05,Upsider_Yahoo分配_BC分_2025.05,Brand Commerce & Marketing,BC,Advertising and marketing events,,39486.0,Local,,D2C,2025-05-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-05-30,UPSIDER_D2C_202505,VENDBILL362460,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202505,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,24618.0,Local,,D2C,2025-05-01,BC,
交通費および宿泊費,41311.0,Travel - Transportation - International,Bill,AnyMind Japan Inc,2025-05-30,UPSIDER_D2C_202505,VENDBILL362460,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202505,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,2661.0,Local,,D2C,2025-05-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-05-30,UPSIDER_D2C_202505,VENDBILL362460,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202505,,Brand Commerce & Marketing,BC,IT expenses,,55091.0,Local,,D2C,2025-05-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-05-30,UPSIDER_D2C_202505,VENDBILL362460,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202505,,Brand Commerce & Marketing,BC,General expenses,,276085.0,Local,,D2C,2025-05-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-05-31,AJP_ExpenseClaim_202505,VENDBILL359804,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202505,社内会食,D2C Solutions,BC,General expenses,,28500.0,Local,,D2C,2025-05-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-05-31,AJP_ExpenseClaim_202505,VENDBILL359804,VEN0000649 Expense Claims for AJP,,80011 - Accounts Payable : Non-trade Creditors,立替経費_202505,Employee Welfare,D2C Solutions,BC,General expenses,,13318.0,Local,,D2C,2025-05-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-05-31,BC-202505,VENDBILL365268,VEN0055059 株式会社スタジオウェル,,80011 - Accounts Payable : Non-trade Creditors,サンサンスポンジ什器制作費,サンサンスポンジ什器制作費,Brand Commerce & Marketing,BC_AM,General expenses,,1091114.0,Local,,D2C,2025-05-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-01,RE250026391201-R,VENDBILL378108,VEN0052042 株式会社オプト,,80010 - Accounts Payable : Trade Creditors,Metaの広告費,BM【販管費】,Brand Commerce & Marketing,BC,Advertising and marketing events,,75057.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-01,3348-3867-7945,VENDBILL373525,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BCM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,351877.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-30,AnyLogi-202506,VENDBILL376919,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,2025年6月_EC広告費,2025年6月_EC広告費,Brand Commerce & Marketing,BC_AM,Advertising and marketing events,,491555.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,Advertising and marketing events,,50000.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-30,AnyLogi202506,VENDBILL376922,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,2025年6月_Amazon 売上お戻し分,2025年6月_Amazon 売上お戻し分,Brand Commerce & Marketing,BC_AM,Advertising and marketing events,,290080.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-30,AnyLogi-202506,VENDBILL376917,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,2025年6月_EC広告費,2025年6月EC広告費,Brand Commerce & Marketing,BC_AM,Advertising and marketing events,,5688443.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-06-30,AnyLogi-202506,VENDBILL376925,"VEN0063718 Kaname Partners US, P.C.",,80010 - Accounts Payable : Trade Creditors,,サンサンスポンジ US用ラベルレビュー費用,D2C Anylogi,BC_AM,Advertising and marketing events,,72329.0,Local,,D2C,2025-06-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Journal,AnyMind Japan Inc,2025-06-30,JEAJP0021820,JOURNAL225241,,,- Split -,Upsider_Yahoo_利用分_2025.06,Upsider_Yahoo分配_BC分_2025.06,Brand Commerce & Marketing,BC,Advertising and marketing events,,19308.0,Local,,D2C,2025-06-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,38018.0,Local,,D2C,2025-06-01,BC,
IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,IT expenses,,2952.0,Local,,D2C,2025-06-01,BC,
IT費用,41500.0,E-Commerce Usage Fees,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,IT expenses,,36364.0,Local,,D2C,2025-06-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-06-30,AnyLogi-202506,VENDBILL376008,VEN0049970 大輔天川,,80011 - Accounts Payable : Non-trade Creditors,化粧品製販コンサル費用　6月分,化粧品製販コンサル費用,D2C Anylogi,BC,Other outsourced services,Outsourced - Long term,30473.0,Local,,D2C,2025-06-01,BC,
人材採用 (中途採用),48050.0,Recruitment,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,Recruitment,,12909.0,Local,,D2C,2025-06-01,BC,
一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-06-30,UPSIDER_D2C_202506,VENDBILL378021,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202506,,Brand Commerce & Marketing,BC,General expenses,,230052.0,Local,,D2C,2025-06-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-06-26,AnyLogi-202506,VENDBILL371033,VEN0025017 三井住友海上火災保険株式会社,,80010 - Accounts Payable : Trade Creditors,BC_PL保険,PL保険,Brand Commerce & Marketing,BC,General expenses,,100000.0,Local,,D2C,2025-06-01,BC,
一般管理費,48160.0,"Postage, Freight and Courier",Bill,AnyMind Japan Inc,2025-06-30,AnyLogi-202506,VENDBILL374365,VEN0017679 コバシ株式会社,CUS0001867 BC Interlab Company Limited (Head Office),80010 - Accounts Payable : Trade Creditors,6月資材費,6月資材費用,Brand Commerce & Marketing,BC,General expenses,,8560.0,Local,,D2C,2025-06-01,BC,
