account_code,account_name,type,subsidiary,trandate,tranid,vendor,body_memo,line_memo,department,class,consolidation_classification,amount_functional,type_managerial report,irregular,dept_mgr_report,posting_period,bu_jp_mgr_report,d2c_platform_related,pokkt_sga_allocation_key
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0058334_2025/11,VEN0058334 株式会社CHAINONエンターテインメント,,撮影用ヘアメイク(11月新作),D2C Solutions,046 Lantinam,Advertising and marketing events,27273,Local,,,2025-11-01,,,
48220,Advertising and Marketing Sample for E-commerce,ItemRcpt,AnyMind Japan Inc,2025-11-01,IR0096706,VEN0046530 七福タオル株式会社,SWF/2960018605865 &RSON,Sample_3: 4582779670241,D2C Solutions,022 &Rson,General expenses,-415,Local,,,2025-11-01,,,
48220,Advertising and Marketing Sample for E-commerce,ItemRcpt,AnyMind Japan Inc,2025-11-01,IR0096706,VEN0046530 七福タオル株式会社,SWF/2960018605865 &RSON,Sample_3: 4582779670258,D2C Solutions,022 &Rson,General expenses,-405,Local,,,2025-11-01,,,
48220,Advertising and Marketing Sample for E-commerce,ItemRcpt,AnyMind Japan Inc,2025-11-01,IR0096706,VEN0046530 七福タオル株式会社,SWF/2960018605865 &RSON,Sample_1: 4582779670241,D2C Solutions,022 &Rson,General expenses,-815,Local,,,2025-11-01,,,
48220,Advertising and Marketing Sample for E-commerce,ItemRcpt,AnyMind Japan Inc,2025-11-01,IR0096706,VEN0046530 七福タオル株式会社,SWF/2960018605865 &RSON,Sample_1: 4582779670258,D2C Solutions,022 &Rson,General expenses,-797,Local,,,2025-11-01,,,
48110,Telephone and Internet,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0000332 ソフトバンク株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,Telephone & Internet,-772573,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0028977 株式会社日本経済社,,AJP_SGA Accrual 2025.10,Communications,Not Applicable,Advertising and marketing events,-25081,Local,,,2025-11-01,,,
41210,Research Expenses,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0011189 株式会社帝国データバンク,,AJP_SGA Accrual 2025.10,Communications,Not Applicable,Research and development,-49079,Local,,,2025-11-01,,,
48100,Office Expenses,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0026489 アドワー株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-3000,Local,,,2025-11-01,,,
48060,Employee Welfare,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0006183 サントリービバレッジソリューション株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-1715361,Local,,,2025-11-01,,,
48110,Telephone and Internet,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0017579 INVITEコミュニケーションズ株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,Telephone & Internet,-834791,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0039575 I-Bouquet株式会社,,AJP_SGA Accrual 2025.10,Brand Commerce & Marketing,BD,Other outsourced services,-348572,Local,,,2025-11-01,,,
48160,"Postage, Freight and Courier",Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0007433 ヤマト運輸株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-412302,Local,,,2025-11-01,,,
48100,Office Expenses,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0000329 インターマン株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-136905,Local,,,2025-11-01,,,
48030,Medical Costs,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0010762 エムスリーキャリア株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-45785,Local,,,2025-11-01,,,
48100,Office Expenses,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0002419 株式会社サイバーネット,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-34526,Local,,,2025-11-01,,,
48030,Medical Costs,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0011810 プラザクリニック検診センター,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-393822,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0013731 株式会社Donuts,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,IT expenses,-225600,Local,,,2025-11-01,,,
48050,Recruitment,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0000845 株式会社ビズリーチ,,AJP_SGA Accrual 2025.10,Human Resource,Not Applicable,Recruitment,-1081750,Local,,,2025-11-01,,,
48160,"Postage, Freight and Courier",Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0017807 日本郵便株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,General expenses,-6732,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0028596 株式会社Saleshub,,AJP_SGA Accrual 2025.10,PG Web,PG Web,Advertising and marketing events,-118637,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0003856 株式会社キャスター,,AJP_SGA Accrual 2025.10,Brand Commerce & Marketing,BD,Other outsourced services,-132000,Local,,,2025-11-01,,,
48050,Recruitment,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0018900 株式会社リクルート,,AJP_SGA Accrual 2025.10,Human Resource,Not Applicable,Recruitment,-198000,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0022821 マンパワーグループ株式会社,,AJP_SGA Accrual 2025.10,Human Resource,Not Applicable,Other outsourced services,-3120525,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023275,VEN0018403 GMOグローバルサイン・ホールディングス株式会社,,AJP_SGA Accrual 2025.10,Administration,Not Applicable,IT expenses,-46750,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0022821 マンパワーグループ株式会社,マンパワー業務委託費,山口　麻那美、坂上 公太、萩 裕哉、森 勇人,Creator Growth,AnyCreator,Other outsourced services,1427386,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0022821 マンパワーグループ株式会社,マンパワー業務委託費,深川様,Legal,Not Applicable,Other outsourced services,538865,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0022821 マンパワーグループ株式会社,マンパワー業務委託費,山本様、佐藤衣見様,Finance,Not Applicable,Other outsourced services,1225087,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0022821 マンパワーグループ株式会社,マンパワー業務委託費,長田 雄大様,Administration,Not Applicable,Other outsourced services,441050,Local,,,2025-11-01,,,
48050,Recruitment,VendBill,AnyMind Japan Inc,2025-11-01,20251106-158,VEN0053688 株式会社ZEROGRA,中途・成果報酬型Fee・ENGAWA/CBM・Aisa Yamamotoさん,中途・成果報酬型Fee・ENGAWA/CBM・Aisa Yamamotoさん,Brand Commerce & Marketing,Not Applicable,Recruitment,1751750,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0028596 株式会社Saleshub,"AJP支払_フォーエム ¥52,000・AnyReach ¥242,000計上　",商談の設定(Anyreach）,PG Web,PG Web,Advertising and marketing events,220000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0028596 株式会社Saleshub,"AJP支払_フォーエム ¥52,000・AnyReach ¥242,000計上　",商談の設定(PG),PG Web,PG Web,Advertising and marketing events,47273,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0024752 株式会社サクセス,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-84612,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0016361 株式会社マリエッタ,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-3381,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0027146 株式会社Synk,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-45954,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0015059 株式会社2BET,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Advertising and marketing events,-58500,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0017369 昌浩玉,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Advertising and marketing events,-51655,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0025089 株式会社ポラリスエックス,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG App,Other outsourced services,-300000,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0027306 株式会社ベルシステム２４,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-457,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0027147 株式会社エーステクノロジー,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-3212,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0012158 AppBank株式会社,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Other outsourced services,-756,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0036415 将太山下,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG App,Other outsourced services,-1800000,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0038451 展貴湯浅,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG App,Other outsourced services,-1500000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0028837 亮太吉田,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Advertising and marketing events,-15387,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0040960 広島テレビ放送株式会社,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG App,Advertising and marketing events,-134903,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0043604 AppLovin (Singapore) Pte Ltd,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG App,Advertising and marketing events,-16556122,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0028851 和明鶴岡,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Advertising and marketing events,-870,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0058919 株式会社テミクス・データ,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,IT expenses,-154297,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0038792 Lumen Research Ltd,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,IT expenses,-75589,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0068321 essence株式会社,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,Advertising and marketing events,-126961,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0068996 SeenThis Japan株式会社,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,IT expenses,-374551,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,FourM Inc,2025-11-01,JE4M0002959,"VEN0065392 Ad-Shield, Inc.",FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,PG Web,IT expenses,-1015299,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,Journal,FourM Inc,2025-11-01,JE4M0002959,VEN0022354 一般社団法人 日本ＡＢＣ協会,FourM SGA Accrual 2025.10,FourM SGA Accrual 2025.10,Publisher Growth,,IT expenses,-275000,Local,,,2025-11-01,,,
48100,Office Expenses,VendBill,AnyMind Japan Inc,2025-11-01,1171574699,VEN0000329 インターマン株式会社,AJP-販管費,Stationery,Administration,Not Applicable,General expenses,205280,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,202511-BIZ210012-1,VEN0003856 株式会社キャスター,IMのSA業務委託費,IMのSA業務委託費,Finance,Not Applicable,Other outsourced services,132000,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0013731 株式会社Donuts,ジョブカン,勤怠管理利用料金,Administration,Not Applicable,IT expenses,241200,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,VendBill,AnyMind Japan Inc,2025-11-01,251001,VEN0018403 GMOグローバルサイン・ホールディングス株式会社,2025年10月分,契約印＆実印プラン　月額基本料や送信料,Administration,Not Applicable,IT expenses,52660,Local,,,2025-11-01,,,
48050,Recruitment,VendBill,AnyMind Japan Inc,2025-11-01,INV-0000000033,VEN0053583 Office Snap合同会社,中途採用・成果報酬型採用決定フィー,請求書_Office Snap 合同会社_採用費用11月分（Tanaka Nanase/PG,Publisher Growth,Not Applicable,Recruitment,1410500,Local,,,2025-11-01,,,
48052,Intercompany Recruitment,VendBill,AnyMind Japan Inc,2025-11-01,INV-0000000033,VEN0053583 Office Snap合同会社,中途採用・成果報酬型採用決定フィー,請求書_Office Snap 合同会社_採用費用11月分（Aina Tatsumi /AnyReach出向）,Human Resource,Not Applicable,Recruitment,1774500,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,AJP_BC_202510_法人_1000,VEN0056215 株式会社 JP FUNCTIONS,,業務委託,Brand Commerce & Marketing,BC,Other outsourced services,1500000,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,AnyMind Japan Inc,2025-11-01,AJP_BC_202510_法人_1000,VEN0056215 株式会社 JP FUNCTIONS,,経費建て替え分,Brand Commerce & Marketing,BC,Other outsourced services,36145,Local,,,2025-11-01,,,
48230,Royalty : D2C CR,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023370,,ARAKA10月ロイヤリティ見積もり計上,ARAKA10月ロイヤリティ見積もり計上,D2C Creator,005 ARAKA,Royalty expenses,-1471939,Local,,,2025-11-01,,,
48230,Royalty : D2C CR,Journal,AnyMind Japan Inc,2025-11-01,JEAJP0023381,,SAKASUKI10月ロイヤリティ見積もり計上,SAKASUKI10月ロイヤリティ見積もり計上,D2C Creator,099 SAKASUKI,Royalty expenses,-22400,Local,,,2025-11-01,,,
48010,General Expenses,VendBill,AnyMind Japan Inc,2025-11-01,K25101042,VEN0002419 株式会社サイバーネット,AJP販管費-名刺作成代,両面名刺,Administration,Not Applicable,General expenses,23200,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,FourM Inc,2025-11-01,54021(251031)),VEN0060775 ヴァンテージマネジメント株式会社,,HighClass業務委託費（石田真吾様）　2025年10月分,Publisher Growth,PG Web,Other outsourced services,300000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,FourM Inc,2025-11-01,SG-27732(251031),VEN0043604 AppLovin (Singapore) Pte Ltd,,Axon Advertising - October 2025,Publisher Growth,PG App,Advertising and marketing events,16865830,Local,,,2025-11-01,,,
41430,Online Utilities and Software License Fees,VendBill,FourM Inc,2025-11-01,5739(251031),VEN0038792 Lumen Research Ltd,,Month of Service: 2025.10,Publisher Growth,PG Web,IT expenses,77003,Local,,,2025-11-01,,,
42610,Other Outsourced Services - recurring service,VendBill,FourM Inc,2025-11-01,45967001(251031),VEN0035895 株式会社AppRuns,※販管費と原価と販管費非課税が混在 2025年10月分,"（販管費）マネタイズ,コンサルティング費,AdMob運用費",Publisher Growth,PG App,Other outsourced services,1524,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,VendBill,FourM Inc,2025-11-01,45967001(251031),VEN0035895 株式会社AppRuns,※販管費と原価と販管費非課税が混在 2025年10月分,（販管費、非課税）支援外アプリ（媒体支払的扱いで42620）,Publisher Growth,PG App,Other outsourced services,93,Local,,,2025-11-01,,,
42620,Other Outsourced Services - non-recurring service,VendBill,FourM Inc,2025-11-01,2(251031),VEN0051429 シュクラン合同会社,,業務委託費用 レビュー施策　2025年10月,Publisher Growth,PG Web,Other outsourced services,652500,Local,,,2025-11-01,,,
48100,Office Expenses,VendBill,AnyMind Japan Inc,2025-11-01,2025539939-00,VEN0000331 森ビル株式会社,20階 2025/10原状回復工事負担金,20階 2025/10原状回復工事負担金,Administration,Not Applicable,General expenses,30477000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_法人_0003_,VEN0057448 株式会社ビーアンドピー,,,Brand Commerce & Marketing,PM,Advertising and marketing events,238800,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_法人_0004_,VEN0057448 株式会社ビーアンドピー,,,Brand Commerce & Marketing,PM,Advertising and marketing events,185000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_法人_0005_,VEN0070559 lone design株式会社,,,Brand Commerce & Marketing,PM,Advertising and marketing events,478500,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0006_,VEN0070511 桃子吉村,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0007_,VEN0070510 MAYA ASO,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0008_,VEN0067357 結香長谷川,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0009_,VEN0064144 実果渡瀬,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0010_,VEN0066014 ひな　小林,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0011_,VEN0064147 裕佳理笹島,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0012_,VEN0061433 あずさ　今,,,Brand Commerce & Marketing,PM,Advertising and marketing events,7000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0013_,VEN0064142 あかり　宮平,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0014_,VEN0063486 琳那中,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0015_,VEN0060439 杏奈関谷,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0016_,VEN0063932 有藤井,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0017_,VEN0045963 千春河野,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0019_,VEN0069333 優那中村,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0020_,VEN0067392 秋穂小林,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,AJP_PM_202510_個人_0021_,VEN0058457 菜々美塚越,,,Brand Commerce & Marketing,PM,Advertising and marketing events,6997,Local,,,2025-11-01,,,
