Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,総計,,,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,総計,AZXは月額定額の料金設定となっているが、タイムチャージに変換した場合、相場より安く設定しており、毎月未使用の時間を翌月または以降繰越していただいてる。例えば株主総会前後、相談する案件が増える、大きなプロジェクトやインシデントが発生した場合も、上記繰越で対応していただいており、別途の請求が基本発生しないことが多い。法務チームのみならず、内部監査（村田さん）やKeizoさん直の相談も対応していただいている。井原さんも弁護士資格を持っているが、上場会社として一番多く関る会社法等の法律に関して、AZXは圧倒的な知見をもっているため、JHDの機関法務関連を含め、AZXのサポートは引き続き必要と考える。,継続 & 金額ステイ,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,総計,,,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,総計,Regional team expenses,ショット
,オフィス費用,VEN0050167 立替金,,2400,,2400,,,,,,一般管理費,VEN0046746 EIWA司法書士法人,,,10500,10500,,,,,,業務委託費,VEN0000327 TH中央社会保険労務士法人,30000,30000,30000,90000,,,,,,IT費用,INTVEN0383 AnyMind Group Pte. Ltd.,132709,124235,122473,379417,株主総会会場費用,継続 & 金額ステイ
,オフィス費用 集計,,,2400,,2400,上場会社基本加入している。年間料金支払い済み、2026年3月にカットでくるか再検討,継続 & 金額ステイ,Kei,,,一般管理費 集計,,,,10500,10500,,,,,,業務委託費 集計,,30000,30000,30000,90000,,,,,,,東京商工リサーチ,3000,273000,3000,279000,銀行支払利息,継続 & 金額ステイ
,その他,VEN0025017 三井住友海上火災保険株式会社,93333,93333,93333,279999,一般社団法人 G1 CEO会費、脱退してよいのであればカット,継続 & 金額ステイ,,,,会計士、税理士、監査法人、社労士,VEN0046746 EIWA司法書士法人,,,17500,17500,,,,,,総計,,30000,30000,30000,90000,,,,,,IT費用 集計,,135709,397235,125473,658417,,
,その他 集計,,93333,93333,93333,279999,,,,,,,VEN0052258 AZX Professionals Group,400000,400000,400000,1200000,,,,,,,,,,,,,,,,,一般管理費,INTVEN0383 AnyMind Group Pte. Ltd.,4133,85986,4957,95076,HR Regional Training,ショット
,一般管理費,VEN0015683 PwCあらた有限責任監査法人,11298,11298,11298,33894,LUK(Regional Finance) 出張費用,ショット,,,,会計士、税理士、監査法人、社労士 集計,,400000,400000,417500,1217500,,,,,,,,,,,,,,,,,,VEN0051105 株式会社 コンベンション リンケージ,,,623700,623700,,
,,VEN0022684 公益財団法人　財務会計基準機構,25000,25000,25000,75000,役員報酬＆交通費,継続 & 金額ステイ,,,,総計,,400000,400000,428000,1228000,,,,,,,,,,,,,,,,,,銀行支払利息,66452,45061,20181,131694,minor,カット
,,VEN0048869 一般社団法人 G1,19835,19835,19832,59502,Izawa海外出張交通費と宿泊費,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,一般管理費 集計,,70585,131047,648838,850470,,
,一般管理費 集計,,56133,56133,56130,168396,,,,,,,,,,,,,,,,,,,,,,,,,,,,会計士、税理士、監査法人、社労士,INTVEN0385 AnyMind Holdings Limited,,,-1458,-1458,支払利息,継続 & 金額ステイ
,会計士、税理士、監査法人、社労士,INTVEN0383 AnyMind Group Pte. Ltd.,-20081,-772177,430,-791828,IzawaさんAward食事会,ショット,,,,,,,,,,,,,,,,,,,,,,,,,,会計士、税理士、監査法人、社労士 集計,,,,-1458,-1458,,
,,PWC監査費用,,,4997992,4997992,,,,,,,,,,,,,,,,,,,,,,,,,,,,交通費および宿泊費,INTVEN0383 AnyMind Group Pte. Ltd.,323578,80775,,404353,,
,,VEN0015982 みずほ証券株式会社,500000,,500000,1000000,M&Aに関連する,ショット,Keizo,,,,,,,,,,,,,,,,,,,,,,,,,交通費および宿泊費 集計,,323578,80775,,404353,,
,,VEN0019719 Global Shares Ireland Ltd,179191,342000,,521191,PWC監査費用,継続 & 金額ステイ,Izawa,,,,,,,,,,,,,,,,,,,,,,,,,財務費用,銀行支払利息,3507711,3496911,3659167,10663789,,
,,VEN0058348 株式会社I-GLOCAL,,,1650000,1650000,変更審査とコンサル費用（3月から契約中止）,カット,Kei,,,,,,,,,,,,,,,,,,,,,,,,,財務費用 集計,,3507711,3496911,3659167,10663789,,
,会計士、税理士、監査法人、社労士 集計,,659110,-430177,7148422,7377355,外国従業員Stock Option行使Platformシステム使用、年間約200万、新株予約権を持っている人のアカウント数でチャージ,継続 & 金額ステイ,Kei,,,,,,,,,,,,,,,,,,,,,,,,,総計,,4037583,4105968,4432020,12575571,,
,業務委託費,INTVEN0383 AnyMind Group Pte. Ltd.,,1929283,,1929283,DD報酬費用,ショット,Keizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0012322 宝印刷株式会社,,,2121300,2121300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0015982 みずほ証券株式会社,,,40000,40000,M&Aに関連する,ショット,Keizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0019719 Global Shares Ireland Ltd,,40018,,40018,定時株主総会招集通知作成費用、電子公告調査サービス,継続 & 金額ステイ,Keizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0021584 株式会社東京証券取引所,,,757800,757800,日本人の非居住者新株予約権管理料（年1回発生）,継続 & 金額ダウン,Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0024429 DocuSign Inc,,105416.6667,,105416.6667,Global Shares株式保管料（行使して売っていない分）,継続 & 金額ステイ,Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0037031 株式会社みんせつ,16667,16667,16667,50001,東証上場料（半年分）,継続 & 金額ステイ,Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,三菱信託銀行　証券手数料,724870,234342,217517,1176729,電子契約,継続 & 金額ステイ,Keizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業務委託費 集計,,741537,2325726.6667,3153284,6220547.6667,IR決算説明会集客料（機関投資家にアプローチ）,継続 & 金額ステイ,Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交際費,VEN0050167 立替金,,85782,,85782,株主名簿&株主総会&議決権行使&新株予約権等の支援と管理（1月半期一回の名簿をしめるため費用高め）,継続 & 金額ステイ,Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交際費 集計,,,85782,,85782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交通費および宿泊費,INTVEN0432 AnyMind Hong Kong Limited,,11088,,11088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0010901 Payroll-Salary AnyMind Group,7580,7580,7580,22740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VEN0050167 立替金,,201137,,201137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交通費および宿泊費 集計,,7580,219805,7580,234965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総計,,1557693,2353002.6667,10458749,14369444.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
