,,,,,,,,,,,,,,,,,,,,,,,
,12月売上,,10688674,進捗率,目標,,,12月営業利益,,10057054,,,,,,,,請求書支払日：Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,
2312.0,12/11【月】,モテコスメちゃん,KATE 3Dアイブロウカラー,株式会社FinT,〒153-0061 東京都目黒区中目黒1-1-71 KN代官山 本館9階,TikTokプロモーション,12月発生1月払い,投稿制作費,400000.0,新規,True,True,True,False,True,,,,モテコスメちゃん,,,,
2312.0,12/11【月】,モテコスメちゃん,KATE 3Dアイブロウカラー,株式会社FinT,〒153-0061 東京都目黒区中目黒1-1-71 KN代官山 本館9階,TikTokプロモーション,12月発生1月払い,IG転載,200000.0,新規,True,True,True,False,True,,,,モテコスメちゃん,,,,
2312.0,12/19【火】,モテコスメちゃん,SHEGLAM②,株式会社Wonder Works,〒150-0031 東京都渋谷区桜丘町12-8 渋谷コーポラス602,TikTokプロモーション,12月発生3月払い,投稿制作費,350000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/20【水】,モテコスメちゃん,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,投稿制作費,400000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/20【水】,モテコスメちゃん,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,二次利用費,100000.0,リピート,True,True,True,True,True,※セット割、前月繰越,,,モテコスメちゃん,,,,
2312.0,12/22【金】,モテコスメちゃん,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,投稿制作費,400000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/22【金】,モテコスメちゃん,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,二次利用費,200000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/26【火】,モテコスメちゃん,KOSHIKA,株式会社detect,〒150-0041 渋谷区神南1-23-14 リージャス渋谷公園通り310,,12月発生1月払い,投稿制作費,420000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/26【火】,モテコスメちゃん,KOSHIKA,株式会社detect,〒150-0041 渋谷区神南1-23-14 リージャス渋谷公園通り311,,12月発生1月払い,二次利用費,180000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12月,モテコスメちゃん,モテコスメちゃん_pdc IG広告配信 二次利用,株式会社オッケーテラバイト,〒107-0052 東京都港区赤坂 7-6-52 ハイツ赤坂104,,12月発生1月払い,二次利用費,30000.0,新規,True,True,True,True,True,※IG通常リールの二次利用,,,モテコスメちゃん,,,,
2312.0,12月,モテコスメちゃん,イニスフリー(なつみちゃん),株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,二次利用費,150000.0,リピート,True,True,True,True,True,※1月末まで,,,モテコスメちゃん,,,,
2312.0,,モテコスメちゃん,,,,,,,,,False,True,False,False,False,,,,モテコスメちゃん,,,,
2312.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,,,,,,
2312.0,12/8【金】,ビビちゃん,ナンバーエス,株式会社 Leading Communication,〒150-0043 東京都渋谷区道玄坂1-16-10 渋谷DTビル6F,TikTokプロモーション,12月発生1月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,2023-12-01 00:00:00,ビビちゃん,59006.0,,,
2312.0,12/8【金】,ビビちゃん,ナンバーエス,株式会社 Leading Communication,〒150-0043 東京都渋谷区道玄坂1-16-10 渋谷DTビル6F,TikTokプロモーション,12月発生1月払い,二次利用費,180000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/8【金】,ビビちゃん,ナンバーエス,株式会社 Leading Communication,〒150-0043 東京都渋谷区道玄坂1-16-10 渋谷DTビル6F,,12月発生1月払い,追加修正費,90000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/15【金】,ビビちゃん,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/15【金】,ビビちゃん,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,二次利用費,90000.0,リピート,True,True,True,True,True,美容探偵とセット割,,,ビビちゃん,,,,
2312.0,12/20【水】,ビビちゃん,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/20【水】,ビビちゃん,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,二次利用費,150000.0,リピート,True,True,True,True,True,※セット割、前月繰越,,,ビビちゃん,,,,
2312.0,12/21【木】,ビビちゃん,SNP,ノイン株式会社,〒150-0033 東京都渋谷区猿楽町10-1 マンサード代官山5F,TikTokプロモーション,12月発生1月払い,投稿制作費,350000.0,新規,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/22【金】,ビビちゃん,アベンヌウォーター,株式会社CCPR,〒150-6121 東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア23F,TikTokプロモーション,12月発生2月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/22【金】,ビビちゃん,アベンヌウォーター,株式会社CCPR,〒150-6121 東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア23F,TikTokプロモーション,12月発生2月払い,二次利用費,540000.0,リピート,True,True,True,True,True,18万×3ヶ月,,,ビビちゃん,,,,
2312.0,12/23【土】,ビビちゃん,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/23【土】,ビビちゃん,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,二次利用費,180000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,12/25【月】,ビビちゃん,BIVABOO,株式会社iHack,〒113-0033 東京都文京区本郷2-17-12 THE HILLS HONGO 6階,,12月発生1月払い,投稿制作費,350000.0,リピート,True,True,True,True,True,,,,ビビちゃん,,,,
2312.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,,,,,,
2312.0,12/5【火】,美容探偵,武内製薬 レチノール ボディクリーム,合同会社LYSOU,〒150-0043 東京都渋谷区道玄坂1丁目10番8号渋谷道玄坂東急ビル,TikTokプロモーション,12月発生1月払い,投稿制作費,200000.0,新規,True,True,True,True,True,,,,美容探偵,65513.0,,,
2312.0,12/5【火】,美容探偵,武内製薬 レチノール ボディクリーム,合同会社LYSOU,〒150-0043 東京都渋谷区道玄坂1丁目10番8号渋谷道玄坂東急ビル,TikTokプロモーション,12月発生1月払い,二次利用費,100000.0,新規,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/13【水】,美容探偵,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,投稿制作費,200000.0,リピート,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/13【水】,美容探偵,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,二次利用費,50000.0,リピート,True,True,True,True,True,ビビとセット割,,,美容探偵,,,,
2312.0,12/14【木】,美容探偵,SNP,ノイン株式会社,〒150-0033 東京都渋谷区猿楽町10-1 マンサード代官山5F,TikTokプロモーション,12月発生1月払い,投稿制作費,200000.0,新規,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/14【木】,美容探偵,SNP,ノイン株式会社,〒150-0033 東京都渋谷区猿楽町10-1 マンサード代官山5F,TikTokプロモーション,12月発生1月払い,出張撮影費,30000.0,新規,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/15【金】,美容探偵,skin1004 センテラアンプル,株式会社メディアエイド,〒150-6016 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー16階,TikTokプロモーション,12月発生1月払い,投稿制作費,200000.0,新規,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/20【水】,美容探偵,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,投稿制作費,200000.0,リピート,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/20【水】,美容探偵,Easyderm,株式会社ネクストラスト,〒150-0002 東京都渋谷区渋谷1-7-4 青山小林ビル 2F,TikTokプロモーション,12月発生1月払い,二次利用費,50000.0,リピート,True,True,True,True,True,※セット割、前月繰越,,,美容探偵,,,,
2312.0,12/22【金】,美容探偵,OBgE,株式会社ブーケ,〒150-0033 東京都渋谷区猿楽町28-6 ノイ・ネスト代官山3階,TikTokプロモーション,12月発生1月払い,投稿制作費,181189.0,リピート,True,True,True,True,True,※税無し,,,美容探偵,,,,
2312.0,12/23【土】,美容探偵,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,投稿制作費,200000.0,リピート,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/23【土】,美容探偵,クレンジングバーム,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,12月発生1月払い,二次利用費,100000.0,リピート,True,True,True,True,True,,,,美容探偵,,,,
2312.0,12/25【月】,美容探偵,ダイアン,NEL株式会社,〒150-0042 東京都渋谷区宇田川町3-7 ヒューリック渋谷公園通りビル 5F-66,,12月発生2月払い,投稿制作費,250000.0,リピート,True,True,True,True,True,※二次利用は初速後に判断,,,美容探偵,,,,
2312.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,,,,,,
2312.0,12/22【金】,ドンキ出待ち,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,投稿制作費,150000.0,リピート,True,True,True,True,True,二次利用あり※初回割,,,ドンキ出待ち,5023.0,,,
2312.0,,ドンキ出待ち,,,,,,,,,False,False,False,False,False,,,,ドンキ出待ち,,,,
2312.0,,ドンキ出待ち,,,,,,,,,False,False,False,False,False,,,,ドンキ出待ち,,,,
2312.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,,,,,,
2312.0,12/27【水】,肌コミちゃん,ダーマレーザー,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,12月発生1月払い,投稿制作費,200000.0,リピート,True,True,True,True,True,二次利用込み、ドンキセット割,,,肌コミちゃん,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,その他、売上,,,,,,,,,,,,,,,,,,,,,,
,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,,,,,,
,,,モテコスメ、美容探偵,,,,,TTアドセンス,17485.0,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,False,False,False,False,False,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,代理店比率,,案件投稿数,比率,ランキング,比率,案件数,シェア率,,,,,,,,,,,,,,,
,株式会社Greed,,1,0.04,株式会社OMOT,,4.0,0.16,,,,,,,,,,,,,,,
,株式会社A,,1,0.04,株式会社ネクストラスト,,3.0,0.12,,,,,,,,,,,,,,,
,株式会社BitStar,,0,0,Dr.ルルルン株式会社,,3.0,0.12,,,,,,,,,,,,,,,
,株式会社Wonder Works,,2,0.08,株式会社Wonder Works,,2.0,0.08,,,,,,,,,,,,,,,
,株式会社FinT,,1,0.04,ノイン株式会社,,2.0,0.08,,,,,,,,,,,,,,,
,株式会社ネクストラスト,,3,0.12,株式会社Greed,,1.0,0.04,,,,,,,,,,,,,,,
,Dr.ルルルン株式会社,,3,0.12,株式会社A,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社detect,,1,0.04,株式会社FinT,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社オッケーテラバイト,,0,0,株式会社detect,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社OMOT,,4,0.16,株式会社 Leading Communication,,1.0,0.04,,,,,,,,,,,,,,,
,,,0,0,株式会社CCPR,,1.0,0.04,,,,,,,,,,,,,,,
,取引先,,0,0,株式会社iHack,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社 Leading Communication,,1,0.04,合同会社LYSOU,,1.0,0.04,,,,,,,,,,,,,,,
,ノイン株式会社,,2,0.08,株式会社メディアエイド,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社CCPR,,1,0.04,株式会社ブーケ,,1.0,0.04,,,,,,,,,,,,,,,
,株式会社iHack,,1,0.04,NEL株式会社,,1.0,0.04,,,,,,,,,,,,,,,
,合同会社LYSOU,,1,0.04,株式会社BitStar,,0.0,0.0,,,,,,,,,,,,,,,
,株式会社メディアエイド,,1,0.04,株式会社オッケーテラバイト,,0.0,0.0,,,,,,,,,,,,,,,
,株式会社ブーケ,,1,0.04,,,0.0,0.0,,,,,,,,,,,,,,,
,NEL株式会社,,1,0.04,取引先,,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
