,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,8245000,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
,2407.0,ビビちゃん,ブースタープロ美顔器,APR,,,7月発生9月払い,投稿制作費,400000.0,,False,False,False,False,,,,,,
,2407.0,ビビちゃん,エイプリルスキン メレンゲクレンザー,APR,,,7月発生9月払い,投稿制作費,400000.0,,False,False,False,False,,,,,,
,2407.0,ビビちゃん,ザ・ダーマ,株式会社OMOT,,,7月発生8月払い,投稿制作費,400000.0,リピート,True,True,True,True,,代理店,国内,スキンケア,,
,2407.0,ビビちゃん,ザ・ダーマ,株式会社OMOT,,,7月発生8月払い,二次利用費,100000.0,リピート,True,True,True,True,セット割引,代理店,国内,スキンケア,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,紹介商品,,,
,2407.0,美容探偵,ニベア,AnyMind Japan株式会社,,,7月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,代理店,国内,,,
,2407.0,美容探偵,ニベア,AnyMind Japan株式会社,,,7月発生8月払い,二次利用費,200000.0,,True,True,True,True,,代理店,国内,,,
,2407.0,美容探偵,ブースタープロ美顔器,APR,,,7月発生8月払い,投稿制作費,250000.0,新規,True,True,True,True,,直クラ,韓国,,,
,2407.0,美容探偵,ブースタープロ美顔器,APR,,,7月発生8月払い,二次利用費,100000.0,新規,True,True,True,True,,直クラ,韓国,,,
,2407.0,美容探偵,スキンアクア ミストUV,NEL,,,7月発生8月払い,投稿制作費,300000.0,リピート,True,True,True,True,,代理店,国内,,,
,2407.0,美容探偵,東亜製薬,JammyWorks（ジャミーワークス）,,,7月発生8月払い,投稿制作費,250000.0,リピート,True,True,True,True,,代理店,韓国,,,
,2407.0,美容探偵,fresho2,株式会社Utakata,,,7月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,代理店,台湾,リップ、ファンデ、メイクキープミスト,,
,2407.0,美容探偵,ダーマレーザー,株式会社OMOT,,,7月発生8月払い,投稿制作費,350000.0,リピート,True,True,True,True,二次利用込み,代理店,国内,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,種別,紹介商品,,,
,2407.0,突撃ちゃん,ダーマレーザー,株式会社OMOT,,,7月発生8月払い,投稿制作費,300000.0,リピート,True,True,True,True,二次利用込み,代理店,国内,,,
,2407.0,突撃ちゃん,LAGOM,株式会社OMOT,,,7月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,,,,,
,2407.0,突撃ちゃん,LAGOM,株式会社OMOT,,,7月発生8月払い,二次利用費,100000.0,リピート,True,True,True,True,,,,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,種別,紹介商品,,,
,2407.0,肌コミちゃん,ウエラ,株式会社ASUNA,,,7月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,"keiri@uniiique.jp
（CC）yamada@uniiique.jp",代理店,国内,,,
,2407.0,肌コミちゃん,スキンアクア ミストUV,NEL,,,7月発生8月払い,投稿制作費,250000.0,リピート,True,True,True,True,,代理店,国内,,,
,2407.0,肌コミちゃん,東亜製薬,JammyWorks（ジャミーワークス）,,,7月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,代理店,韓国,,,
,2407.0,肌コミちゃん,セルフュージョンC,ノイン,,,7月発生8月払い,投稿制作費,250000.0,リピート,True,True,True,True,,代理店,韓国,,,
,2407.0,肌コミちゃん,skinvill　ホットクレンジングジェル,REECH,,,7月発生8月払い,投稿制作費,250000.0,リピート,True,True,True,True,第三者配信広告、店頭POP利用、店頭サイネージ利用、公式アカウント内での素材二次利用,代理店,国内,,,
,2407.0,肌コミちゃん,skinvill　ホットクレンジングジェル,REECH,,,7月発生8月払い,二次利用費,280000.0,リピート,True,True,True,True,,,,,,
,2407.0,肌コミちゃん,ダーマレーザー,株式会社OMOT,,,7月発生8月払い,投稿制作費,300000.0,リピート,True,True,True,True,二次利用込み,代理店,国内,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,種別,紹介商品,,,
,2407.0,,,,,,,,,,False,False,False,False,,,,,,
,2407.0,,,,,,,,,,False,False,False,False,,,,,,
,2407.0,,,,,,,,,,False,False,False,False,,,,,,
,2407.0,,,,,,,,,,False,False,False,False,,,,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,種別,紹介商品,,,
,2407.0,韓国オンニ,東亜製薬,JammyWorks（ジャミーワークス）,,,7月発生8月払い,投稿制作費,150000.0,リピート,True,True,True,True,,代理店,韓国,,,
,2407.0,韓国オンニ,UIQ,シーズマーケット,,,7月発生8月払い,投稿制作費,200000.0,新規,True,True,True,True,,代理店,韓国,,,
,2407.0,韓国オンニ,UIQ,シーズマーケット,,,7月発生8月払い,二次利用費,65000.0,新規,,,,,,,,,,
,2407.0,韓国オンニ,fresho2,株式会社Utakata,,,7月発生8月払い,投稿制作費,200000.0,クロスセル,True,True,True,True,,代理店,台湾,,,
,2407.0,Instaタイアップ,,,,,,,,,,,,,,,,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
,2407.0,モテコスメちゃん,beplain,株式会社bibin,,,7月発生8月払い,instagram,100000.0,リピート,True,True,True,True,リール,代理店,韓国,,,
,2407.0,モテコスメちゃん,INTO U,HHO,,,7月発生8月払い,instagram,100000.0,新規,True,True,True,True,,代理店,中国,,,
,2407.0,おとちゃん,INTO U,HHO,,,7月発生8月払い,instagram,100000.0,新規,True,True,True,True,,代理店,中国,,,
,2407.0,ビビちゃん,INTO U,HHO,,,7月発生8月払い,instagram,100000.0,新規,True,True,True,True,,代理店,中国,,,
,2407.0,Youtubeタイアップ,,,,,,,,,,,,,,,,,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
,2407.0,肌コミちゃん,Torhop,Danmee株式会社,,,7月発生8月払い,YTS,150000.0,リピート,True,True,True,True,,代理店,韓国,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,代理店比率,,案件投稿数,比率,ランキング,比率,案件数,シェア率,,国別PR比率,案件投稿数,比率,,代理店比率,案件投稿数,比率,,,,
,"Aiden Lab Co.,Ltd.",,2,0.08333333333,株式会社OMOT,,5.0,0.20833333333333334,,韓国,10,0.5263157895,,代理店,23,1.210526316,,,,
,株式会社Utakata,,3,0.125,株式会社Utakata,,3.0,0.125,,台湾,3,0.1578947368,,直クラ,2,0.1052631579,,,,
,取引先,,0,0,APR,,3.0,0.125,,紹介商品,6,0.3157894737,,種別,,,,,,
,AnyMind Japan株式会社,,2,0.08333333333,JammyWorks（ジャミーワークス）,,3.0,0.125,,国内,19,,,,,,,,,
,APR,,3,0.125,"Aiden Lab Co.,Ltd.",,2.0,0.08333333333333333,,,,,,,,,,,,
,株式会社OMOT,,5,0.2083333333,AnyMind Japan株式会社,,2.0,0.08333333333333333,,,,,,,,,,,,
,NEL,,2,0.08333333333,NEL,,2.0,0.08333333333333333,,,,,,,,,,,,
,JammyWorks（ジャミーワークス）,,3,0.125,株式会社ASUNA,,1.0,0.041666666666666664,,,,,,,,,,,,
,株式会社ASUNA,,1,0.04166666667,ノイン,,1.0,0.041666666666666664,,,,,,,,,,,,
,ノイン,,1,0.04166666667,REECH,,1.0,0.041666666666666664,,,,,,,,,,,,
,REECH,,1,0.04166666667,シーズマーケット,,1.0,0.041666666666666664,,,,,,,,,,,,
,,,0,0,取引先,,0.0,0.0,,,,,,,,,,,,
,シーズマーケット,,1,0.04166666667,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
